VARI,NOME,DESDE,TAM,F,CATEG,quesito,categorias,categorias_dict
V1409,"ILUMINAÇÃO ELETRICA
 - NÃO APLICAVEL
1- TEM
2- NÃO TÊM
9- SEM DECLARAÇÃO",27,1,4,N,ILUMINAÇÃO ELETRICA," - NÃO APLICAVEL
1- TEM
2- NÃO TÊM
9- SEM DECLARAÇÃO","{1: 'TEM', 2: 'NÃO TÊM', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V1410,"FOGÃO
 - NÃO APLICAVEL
1- GAS OU ELETRICO
2– OLEO OU QUEROZENE
3- A CARVÃO
4- A LENHA
5- NÃO TÊM
9- SEM DECLARAÇÃO",28,1,N,7,FOGÃO," - NÃO APLICAVEL
1- GAS OU ELETRICO
2– OLEO OU QUEROZENE
3- A CARVÃO
4- A LENHA
5- NÃO TÊM
9- SEM DECLARAÇÃO","{1: 'GAS OU ELETRICO', 2: 'OLEO OU QUEROZENE', 3: 'A CARVÃO', 4: 'A LENHA', 5: 'NÃO TÊM', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V1411,"RÁDIO
 - NÃO APLICAVEL
1- TEM
2- NÃO TÊM
9- SEM DECLARAÇÃO",29,1,N,4,RÁDIO," - NÃO APLICAVEL
1- TEM
2- NÃO TÊM
9- SEM DECLARAÇÃO","{1: 'TEM', 2: 'NÃO TÊM', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V1412,"MÁQUINA DE COSTURA
 - NÃO APLICAVEL
1- TEM
2- NÃO TÊM
9- SEM DECLARAÇÃO",30,1,N,4,MÁQUINA DE COSTURA," - NÃO APLICAVEL
1- TEM
2- NÃO TÊM
9- SEM DECLARAÇÃO","{1: 'TEM', 2: 'NÃO TÊM', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V1413,"GELADEIRA
 - NÃO APLICAVEL
0- NÃO TEM
1- UM
2- DOIS
3- TRES
4- QUATRO
5- CINCO
6- SEIS
7- SETE
8- OITO
9- SEM DECLARAÇÃO",31,1,N,11,GELADEIRA," - NÃO APLICAVEL
0- NÃO TEM
1- UM
2- DOIS
3- TRES
4- QUATRO
5- CINCO
6- SEIS
7- SETE
8- OITO
9- SEM DECLARAÇÃO","{0: 'NÃO TEM', 1: 'UM', 2: 'DOIS', 3: 'TRES', 4: 'QUATRO', 5: 'CINCO', 6: 'SEIS', 7: 'SETE', 8: 'OITO', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V1414,"TELEVISÃO
 - NÃO APLICAVEL
1- PRETA E BRANCA
2- A CORES
3- PRETA E BRANCO E A CORES
4- NÃO TÊM
9- SEM DECLARAÇÃO",32,1,N,6,TELEVISÃO," - NÃO APLICAVEL
1- PRETA E BRANCA
2- A CORES
3- PRETA E BRANCO E A CORES
4- NÃO TÊM
9- SEM DECLARAÇÃO","{1: 'PRETA E BRANCA', 2: 'A CORES', 3: 'PRETA E BRANCO E A CORES', 4: 'NÃO TÊM', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V1415,"AUTOMOVEIS DE PASSEIO
 - NÃO APLICAVEL
0- NÃO TEM
1- UM
2- DOIS
3- TRES
4- QUATRO
5- CINCO
6- SEIS
7- SETE
8- OITO
9- SEM DECLARAÇÃO",33,1,N,11,AUTOMOVEIS DE PASSEIO," - NÃO APLICAVEL
0- NÃO TEM
1- UM
2- DOIS
3- TRES
4- QUATRO
5- CINCO
6- SEIS
7- SETE
8- OITO
9- SEM DECLARAÇÃO","{0: 'NÃO TEM', 1: 'UM', 2: 'DOIS', 3: 'TRES', 4: 'QUATRO', 5: 'CINCO', 6: 'SEIS', 7: 'SETE', 8: 'OITO', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V1416,TOTAL DE COMODOS,34,2,N,,TOTAL DE COMODOS,,
V1417,TOTAL DE COMODOS SERVINDO DE DORMITORIOS,36,2,N,,TOTAL DE COMODOS SERVINDO DE DORMITORIOS,,
V1807,TOTAL DE PESSOAS COM 10 ANOS,38,2,N,,TOTAL DE PESSOAS COM 10 ANOS,,
V1824,TOTAL DE MORADORES,40,2,N,,TOTAL DE MORADORES,,
V1012,"TIPO DE AREA
1- AREA METROPOLITANA
2- AUTO REPRESENTATIVA
3- NÃO AUTO REPRESENTATIVA",42,1,N,3,TIPO DE AREA,"1- AREA METROPOLITANA
2- AUTO REPRESENTATIVA
3- NÃO AUTO REPRESENTATIVA","{1: 'AREA METROPOLITANA', 2: 'AUTO REPRESENTATIVA', 3: 'NÃO AUTO REPRESENTATIVA'}"
V1980,PESO DA FAMILIA NO DOMICILIO PARA AREA METROPOLITANA,43,6,N,,PESO DA FAMILIA NO DOMICILIO PARA AREA METROPOLITANA,,
V1985,PESO DA FAMILIA NO DOMICILIO,49,6,N,,PESO DA FAMILIA NO DOMICILIO,,
V1600,NUMERO DE MORADORES DO DOMICLIO,55,1,N,,NUMERO DE MORADORES DO DOMICLIO,,
V1601,"GRUPO DE MORADORES NO DOMICILIO
VER VARIAVEIS AUXILIARES",56,2,N,17,GRUPO DE MORADORES NO DOMICILIO,VER VARIAVEIS AUXILIARES,"{'': 'PREJUDICADO', '1': '1 MORADOR', '2': '2 MORADORES', '3': '3 MORADORES', '4': '4 MORADORES', '5': '5 MORADORES', '6': '6 MORADORES', '7': '7 MORADORES', '8': '8 MORADORES', '9': '9 MORADORES', '10': '10 MORADORES', '11': '11 MORADORES', '12': '12 MORADORES', '13': '13 MORADORES', '14': '14 MORADORES', '15': '15 MORADORES', '16': '16 E MAIS MORADORES'}"
V1602,"TIPO CONSTRUÇÃO E TIPO DE SITUAÇÃO
 - PREJUDICADO
1- DURAVEL - URBANO
2- DURAVEL - RURAL
3- RUSTICO - URBANO
4- RUSTICO - RURAL
5- IMPROVISADO - URBANO
6- IMPROVISADO - RURAL",58,1,N,7,TIPO CONSTRUÇÃO E TIPO DE SITUAÇÃO," - PREJUDICADO
1- DURAVEL - URBANO
2- DURAVEL - RURAL
3- RUSTICO - URBANO
4- RUSTICO - RURAL
5- IMPROVISADO - URBANO
6- IMPROVISADO - RURAL","{1: 'DURAVEL – URBANO', 2: 'DURAVEL – RURAL', 3: 'RUSTICO – URBANO', 4: 'RUSTICO – RURAL', 5: 'IMPROVISADO – URBANO', 6: 'IMPROVISADO – RURAL', '': 'PREJUDICADO'}"
V1603,"PISO E COBERTURA
VER VARIÁVEIS AUXILIARES",59,2,N,26,PISO E COBERTURA,VER VARIÁVEIS AUXILIARES,"{'': 'PREJUDICADO', '01': 'MADEIRA E LAJE', '02': 'MADEIRA E TELHA', '03': 'MADEIRA E ZINCO', '04': 'MADEIRA E PALHA', '05': 'MADEIRA E OUTRA', '06': 'CIMENTO E LAJE', '07': 'CIMENTO E TELHA', '08': 'CIMENTO E ZINCO', '09': 'CIMENTO E PALHA', '10': 'CIMENTO E OUTRA', '11': 'CERAMICA E LAJE', '12': 'CERAMICA E TELHA', '13': 'CERAMICA E ZINCO', '14': 'CERAMICA E PALHA', '15': 'CERAMICA E OUTRA', '16': 'TERRA E LAJE', '17': 'TERRA E TELHA', '18': 'TERRA E ZINCO', '19': 'TERRA E PALHA', '20': 'TERRA E OUTRA', '21': 'OUTRO E LAJE', '22': 'OUTRO E TELHA', '23': 'OUTRO E ZINCO', '24': 'OUTRO E PALHA', '25': 'OUTRO E OUTRA'}"
V1604,"GRUPO DO NUMERO DE COMODOS
 - PREJUDICADO
1- 1 COMODO
2- 2 COMODOS
3- 3 COMODOS
4- 4 COMODOS
5- 5 COMODOS
6- DE 6 A 9 COMODOS
7- 10 COMODOS E MAIS
8- SEM DECLARAÇÃO",61,1,N,9,GRUPO DO NUMERO DE COMODOS," - PREJUDICADO
1- 1 COMODO
2- 2 COMODOS
3- 3 COMODOS
4- 4 COMODOS
5- 5 COMODOS
6- DE 6 A 9 COMODOS
7- 10 COMODOS E MAIS
8- SEM DECLARAÇÃO","{1: '1 COMODO', 2: '2 COMODOS', 3: '3 COMODOS', 4: '4 COMODOS', 5: '5 COMODOS', 6: 'DE 6 A 9 COMODOS', 7: '10 COMODOS E MAIS', 8: 'SEM DECLARAÇÃO', '': 'PREJUDICADO'}"
V1605,"GRUPO DO NUMERO DE DORMITORIOS
 - PREJUDICADO
1- 1 COMODO
2- 2 COMODOS
3- 3 COMODOS
4- 4 COMODOS
5- 5 COMODOS
6- DE 6 A 9 COMODOS
7- 10 COMODOS E MAIS
8- SEM DECLARAÇÃO",62,1,N,9,GRUPO DO NUMERO DE DORMITORIOS," - PREJUDICADO
1- 1 COMODO
2- 2 COMODOS
3- 3 COMODOS
4- 4 COMODOS
5- 5 COMODOS
6- DE 6 A 9 COMODOS
7- 10 COMODOS E MAIS
8- SEM DECLARAÇÃO","{1: '1 COMODO', 2: '2 COMODOS', 3: '3 COMODOS', 4: '4 COMODOS', 5: '5 COMODOS', 6: 'DE 6 A 9 COMODOS', 7: '10 COMODOS E MAIS', 8: 'SEM DECLARAÇÃO', '': 'PREJUDICADO'}"
V1611,"GRUPO DE COMPONENTES DA FAMILIA
VER VARIÁVEIS AUXILIARES",63,2,N,17,GRUPO DE COMPONENTES DA FAMILIA,VER VARIÁVEIS AUXILIARES,"{'': 'PREJUDICADO', '01': '1 COMPONENTE', '02': '2 COMPONENTES', '03': '3 COMPONENTES', '04': '4 COMPONENTES', '05': '5 COMPONENTES', '06': '6 COMPONENTES', '07': '7 COMPONENTES', '08': '8 COMPONENTES', '09': '9 COMPONENTES', '10': '10 COMPONENTES', '11': '11 COMPONENTES', '12': '12 COMPONENTES', '13': '13 COMPONENTES', '14': '14 COMPONENTES', '15': '15 COMPONENTES', '16': '16 COMPONENTES E MAIS'}"
V1612,"GRUPO DE COMPONENTES DA FAMILIA COM PENSIONISTA E EMPREGADO
VER VARIÁVEIS AUXILIARES",65,2,N,17,GRUPO DE COMPONENTES DA FAMILIA COM PENSIONISTA E EMPREGADO,VER VARIÁVEIS AUXILIARES,"{'': 'PREJUDICADO', '01': '1 COMPONENTE', '02': '2 COMPONENTES', '03': '3 COMPONENTES', '04': '4 COMPONENTES', '05': '5 COMPONENTES', '06': '6 COMPONENTES', '07': '7 COMPONENTES', '08': '8 COMPONENTES', '09': '9 COMPONENTES', '10': '10 COMPONENTES', '11': '11 COMPONENTES', '12': '12 COMPONENTES', '13': '13 COMPONENTES', '14': '14 COMPONENTES', '15': '15 COMPONENTES', '16': '16 COMPONENTES E MAIS'}"
V1631,"RENDIMENTO MENSAL DA FAMILA
1- ATE 1/2 SALARIO MINIMO
2- DE 1/2 A 1 SALARIO MINIMO
3- DE 1 A 2 SALARIOS MINIMOS
4- DE 2 A 5 SALARIOS MINIMOS
5- MAIS DE 5 SALARIOS MINIMOS
6- SEM RENDIMENTO
7- SEM DECLARAÇÃO",67,1,N,7,RENDIMENTO MENSAL DA FAMILA,"1- ATE 1/2 SALARIO MINIMO
2- DE 1/2 A 1 SALARIO MINIMO
3- DE 1 A 2 SALARIOS MINIMOS
4- DE 2 A 5 SALARIOS MINIMOS
5- MAIS DE 5 SALARIOS MINIMOS
6- SEM RENDIMENTO
7- SEM DECLARAÇÃO","{1: 'ATE 1/2 SALARIO MINIMO', 2: 'DE 1/2 A 1 SALARIO MINIMO', 3: 'DE 1 A 2 SALARIOS MINIMOS', 4: 'DE 2 A 5 SALARIOS MINIMOS', 5: 'MAIS DE 5 SALARIOS MINIMOS', 6: 'SEM RENDIMENTO', 7: 'SEM DECLARAÇÃO'}"
V1632,"RENDIMENTO MENSAL DO CHEFE
1- ATE 1/2 SALARIO MINIMO
2- DE 1/2 A 1 SALARIO MINIMO
3- DE 1 A 2 SALARIOS MINIMOS
4- DE 2 A 5 SALARIOS MINIMOS
5- MAIS DE 5 SALARIOS MINIMOS
6- SEM RENDIMENTO
7- SEM DECLARAÇÃO",68,1,N,7,RENDIMENTO MENSAL DO CHEFE,"1- ATE 1/2 SALARIO MINIMO
2- DE 1/2 A 1 SALARIO MINIMO
3- DE 1 A 2 SALARIOS MINIMOS
4- DE 2 A 5 SALARIOS MINIMOS
5- MAIS DE 5 SALARIOS MINIMOS
6- SEM RENDIMENTO
7- SEM DECLARAÇÃO","{1: 'ATE 1/2 SALARIO MINIMO', 2: 'DE 1/2 A 1 SALARIO MINIMO', 3: 'DE 1 A 2 SALARIOS MINIMOS', 4: 'DE 2 A 5 SALARIOS MINIMOS', 5: 'MAIS DE 5 SALARIOS MINIMOS', 6: 'SEM RENDIMENTO', 7: 'SEM DECLARAÇÃO'}"
V1633,"NUMERO DE COMPONENTES POR PESSOAS COM RENDIMENTO
VER VARIÁVEIS AUXILIARES",69,2,N,16,NUMERO DE COMPONENTES POR PESSOAS COM RENDIMENTO,VER VARIÁVEIS AUXILIARES,"{'': 'PREJUDICADO', '01': '1 COMPONENTE X 1 PESSOA COM RENDIMENTOS', '02': '2 COMPONENTES X 1 PESSOA COM RENDIMENTOS', '03': '2 COMPONENTES X 2 PESSOAS COM RENDIMENTOS', '04': '3 COMPONENTES X 1 PESSOA COM RENDIMENTOS', '05': '3 COMPONENTES X 2 PESSOAS COM RENDIMENTOS', '06': '3 COMPONENTES X 3 PESSOAS COM RENDIMENTOS', '07': 'DE 4 A 6 COMPONENTES X 1 PESSOA COM RENDIMENTOS', '08': 'DE 4 A 6 COMPONENTES X 2 PESSOAS COM RENDIMENTOS', '09': 'DE 4 A 6 COMPONENTES X 3 PESSOAS E MAIS COM RENDIMENTOS', '10': 'DE 7 A 10 COMPONENTES X 1 PESSOA COM RENDIMENTOS', '11': 'DE 7 A 10 COMPONENTES X 2 PESSOAS COM RENDIMENTOS', '12': 'DE 7 A 10 COMPONENTES X 3 E MAIS PESSOAS COM RENDIMENTOS', '13': '11 COMPONENTES E MAIS X 1 PESSOA COM RENDIMENTOS', '14': '11 COMPONENTES E MAIS X 2 PESSOAS COM RENDIMENTOS', '15': '11 COMPONENTES E MAIS X 3 PESSOAS E MAIS COM RENDIMENTOS'}"
V1634,"NUMERO DE COMPONENTES POR PESSOAS OCUPADAS
VER VARIÁVEIS AUXILIARES",71,2,N,16,NUMERO DE COMPONENTES POR PESSOAS OCUPADAS,VER VARIÁVEIS AUXILIARES,"{'': 'PREJUDICADO', '01': '1 COMPONENTE X 1 PESSOA OCUPADA', '02': '2 COMPONENTES X 1 PESSOA OCUPADA', '03': '2 COMPONENTES X 2 PESSOAS OCUPADAS', '04': '3 COMPONENTES X 1 PESSOA OCUPADA', '05': '3 COMPONENTES X 2 PESSOAS OCUPADAS', '06': '3 COMPONENTES X 3 PESSOAS OCUPADAS', '07': 'DE 4 A 6 COMPONENTES X 1 PESSOA OCUPADA', '08': 'DE 4 A 6 COMPONENTES X 2 PESSOAS OCUPADAS', '09': 'DE 4 A 6 COMPONENTES X 3 PESSOAS e MAIS OCUPADAS', '10': 'DE 7 A 10 COMPONENTES X 1 PESSOA OCUPADA', '11': 'DE 7 A 10 COMPONENTES X 2 PESSOAS OCUPADAS', '12': 'DE 7 A 10 COMPONENTES X 3 PESSOAS E MAIS OCUPADAS', '13': '11 COMPONENTES E MAIS X 1 PESSOA OCUPADA', '14': '11 COMPONENTES E MAIS X 2 PESSOAS OCUPADAS', '15': '11 COMPONENTES E MAIS X 3 PESSOAS E MAIS OCUPADAS'}"
V1637,"GELADEIRA PARA TABULAÇÃO
 - NÃO APLICAVEL
1- 1 GELADEIRA
2- 2 GELADEIRAS E MAIS
3- NÃO TÊM
9- SEM DECLARAÇÃO",73,1,N,5,GELADEIRA PARA TABULAÇÃO," - NÃO APLICAVEL
1- 1 GELADEIRA
2- 2 GELADEIRAS E MAIS
3- NÃO TÊM
9- SEM DECLARAÇÃO","{1: '1 GELADEIRA', 2: '2 GELADEIRAS E MAIS', 3: 'NÃO TÊM', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V1638,"AUTOMOVEIS PARA TABULAÇÃO
 - NÃO APLICAVEL
1- 1 AUTOMOVEL
2- 2 AUTOMOVEIS E MAIS
3- NÃO TÊM
9- SEM DECLARAÇÃO",74,1,N,5,AUTOMOVEIS PARA TABULAÇÃO," - NÃO APLICAVEL
1- 1 AUTOMOVEL
2- 2 AUTOMOVEIS E MAIS
3- NÃO TÊM
9- SEM DECLARAÇÃO","{1: '1 AUTOMOVEL', 2: '2 AUTOMOVEIS E MAIS', 3: 'NÃO TÊM', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V1700,IDENTIFICAÇÃO DO DOMICILIO,75,7,N,,IDENTIFICAÇÃO DO DOMICILIO,,
V1997,NOVO PESO DO DOMICILIO/FAMILIA,82,6,N,,NOVO PESO DO DOMICILIO/FAMILIA,,
V1497,FATOR DE SUBAMOSTRAGEM POR ÁREA METROPOLITANA,88,6,N,,FATOR DE SUBAMOSTRAGEM POR ÁREA METROPOLITANA,,
V1948,FATOR DE SUBAMOSTRAGEM,94,6,N,,FATOR DE SUBAMOSTRAGEM,,
V1499,FATOR DE SUBAMOSTRAGEM,100,2,N,,FATOR DE SUBAMOSTRAGEM,,
V2103,"SEXO
1- HOMEM
2- MULHER",12,1,N,2,SEXO,"1- HOMEM
2- MULHER","{1: 'HOMEM', 2: 'MULHER'}"
V2104,"CONDIÇÃO DE PRESENÇA
1- MORADOR PRESENTE
2- MORADOR AUSENTE
3- NÃO MORADOR PRESENTE",13,1,N,3,CONDIÇÃO DE PRESENÇA,"1- MORADOR PRESENTE
2- MORADOR AUSENTE
3- NÃO MORADOR PRESENTE","{1: 'MORADOR PRESENTE', 2: 'MORADOR AUSENTE', 3: 'NÃO MORADOR PRESENTE'}"
V2105,IDADE EM ANOS COMPLETOS,14,2,N,,IDADE EM ANOS COMPLETOS,,
