VARI,NOME,DESDE,TAM,F,CATEG,quesito,categorias,categorias_dict
V1109,"TIPO DO DOMICILIO
 - NÃO APLICAVEL
1- CASA
2- APARTAMENTO
3- RUSTICO
4- QUARTO OU COMODO
9- SEM DECLARAÇÃO",20,1,N,6.0,TIPO DO DOMICILIO," - NÃO APLICAVEL
1- CASA
2- APARTAMENTO
3- RUSTICO
4- QUARTO OU COMODO
9- SEM DECLARAÇÃO","{1: 'CASA', 2: 'APARTAMENTO', 3: 'RUSTICO', 4: 'QUARTO OU COMODO', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V1110,"PAREDE DO DOMICÍLIO
 - NÃO APLICAVEL
1- ALVENARIA
2- MADEIRA PREPARADA
3- TAIPA NÃO REVESTIDA
4- MADEIRA APROVEITADA
5- OUTRA
9- SEM DECLARAÇÃO",21,1,N,7.0,PAREDE DO DOMICÍLIO," - NÃO APLICAVEL
1- ALVENARIA
2- MADEIRA PREPARADA
3- TAIPA NÃO REVESTIDA
4- MADEIRA APROVEITADA
5- OUTRA
9- SEM DECLARAÇÃO","{1: 'ALVENARIA', 2: 'MADEIRA PREPARADA', 3: 'TAIPA NÃO REVESTIDA', 4: 'MADEIRA APROVEITADA', 5: 'OUTRA', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V1111,"PISO DO DOMICÍLIO
 - NÃO APLICAVEL
1- MADEIRA APARELHADA
2- CIMENTO
3- CERAMICA
4- TERRA
5- MADEIRA APROVEITADA
6- OUTRA
9- SEM DECLARAÇÃO",22,1,N,8.0,PISO DO DOMICÍLIO," - NÃO APLICAVEL
1- MADEIRA APARELHADA
2- CIMENTO
3- CERAMICA
4- TERRA
5- MADEIRA APROVEITADA
6- OUTRA
9- SEM DECLARAÇÃO","{1: 'MADEIRA APARELHADA', 2: 'CIMENTO', 3: 'CERAMICA', 4: 'TERRA', 5: 'MADEIRA APROVEITADA', 6: 'OUTRA', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V1112,"COBERTURA
 - NÃO APLICAVEL
1- LAJE DE CONCRETO
2- TELHA DE BARRO
3- TELHA DE AMIANTO
4- ZINCO
5- MADEIRA
6- PALHA
7- MATERIAL APROVEITADO
8- OUTRA
9- SEM DECLARAÇÃO",23,1,N,10.0,COBERTURA," - NÃO APLICAVEL
1- LAJE DE CONCRETO
2- TELHA DE BARRO
3- TELHA DE AMIANTO
4- ZINCO
5- MADEIRA
6- PALHA
7- MATERIAL APROVEITADO
8- OUTRA
9- SEM DECLARAÇÃO","{1: 'LAJE DE CONCRETO', 2: 'TELHA DE BARRO', 3: 'TELHA DE AMIANTO', 4: 'ZINCO', 5: 'MADEIRA', 6: 'PALHA', 7: 'MATERIAL APROVEITADO', 8: 'OUTRA', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V1113,"ABASTECIMENTO DE AGUA
 - NÃO APLICAVEL
1- REDE GERAL COM CANALIZAÇÃO INTERNA
2- POÇO OU NASCENTE COM CANALIZAÇÃO INTERNA
3- OUTRA FORMA COM CANALIZAÇÃO INTERNA
4- REDE GERAL SEM CANALIZAÇÃO INTERNA
5- POÇO OU NASCENTE SEM CANALIZAÇÃO INTERNA
6- OUTRA FORMA SEM CANALIZAÇÃO INTERNA
9- SEM DECLARAÇÃO",24,1,N,8.0,ABASTECIMENTO DE AGUA," - NÃO APLICAVEL
1- REDE GERAL COM CANALIZAÇÃO INTERNA
2- POÇO OU NASCENTE COM CANALIZAÇÃO INTERNA
3- OUTRA FORMA COM CANALIZAÇÃO INTERNA
4- REDE GERAL SEM CANALIZAÇÃO INTERNA
5- POÇO OU NASCENTE SEM CANALIZAÇÃO INTERNA
6- OUTRA FORMA SEM CANALIZAÇÃO INTERNA
9- SEM DECLARAÇÃO","{1: 'REDE GERAL COM CANALIZAÇÃO INTERNA', 2: 'POÇO OU NASCENTE COM CANALIZAÇÃO INTERNA', 3: 'OUTRA FORMA COM CANALIZAÇÃO INTERNA', 4: 'REDE GERAL SEM CANALIZAÇÃO INTERNA', 5: 'POÇO OU NASCENTE SEM CANALIZAÇÃO INTERNA', 6: 'OUTRA FORMA SEM CANALIZAÇÃO INTERNA', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V1114,"TIPO DE INSTALAÇÃO SANITARIA
 - NÃO APLICAVEL
1- REDE GERAL
2- FOSSA SEPTICA
3- FOSSA RUDIMENTAR
4- OUTRO
5- NÃO TEM
9- SEM DECLARAÇÃO",25,1,N,7.0,TIPO DE INSTALAÇÃO SANITARIA," - NÃO APLICAVEL
1- REDE GERAL
2- FOSSA SEPTICA
3- FOSSA RUDIMENTAR
4- OUTRO
5- NÃO TEM
9- SEM DECLARAÇÃO","{1: 'REDE GERAL', 2: 'FOSSA SEPTICA', 3: 'FOSSA RUDIMENTAR', 4: 'OUTRO', 5: 'NÃO TEM', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V1115,"USO DE INSTALAÇÃO SANITARIA
 - NÃO APLICAVEL
1- SO DO DOMICILIO
2- COMUM MAIS DE UM DOMICILIO
3- NÃO TEM
9- SEM DECLARAÇÃO",26,1,N,5.0,USO DE INSTALAÇÃO SANITARIA," - NÃO APLICAVEL
1- SO DO DOMICILIO
2- COMUM MAIS DE UM DOMICILIO
3- NÃO TEM
9- SEM DECLARAÇÃO","{1: 'SO DO DOMICILIO', 2: 'COMUM MAIS DE UM DOMICILIO', 3: 'NÃO TEM', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V1116,"COLETA DE LIXO
 - NÃO APLICAVEL
1- MENOS DE 3 VEZES POR SEMANA
2- 3 VEZES OU MAIS POR SEMANA
3- NÃO TEM
9- SEM DECLARAÇÃO",27,1,N,5.0,COLETA DE LIXO," - NÃO APLICAVEL
1- MENOS DE 3 VEZES POR SEMANA
2- 3 VEZES OU MAIS POR SEMANA
3- NÃO TEM
9- SEM DECLARAÇÃO","{1: 'MENOS DE 3 VEZES POR SEMANA', 2: '3 VEZES OU MAIS POR SEMANA', 3: 'NÃO TEM', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V1117,"POSSUI ILUMINAÇÃO ELETRICA?
 - NÃO APLICAVEL
1- TEM COM MEDIDOR
2- TEM SEM MEDIDOR
3- NÃO TEM
9- SEM DECLARAÇÃO",28,1,N,5.0,POSSUI ILUMINAÇÃO ELETRICA?," - NÃO APLICAVEL
1- TEM COM MEDIDOR
2- TEM SEM MEDIDOR
3- NÃO TEM
9- SEM DECLARAÇÃO","{1: 'TEM COM MEDIDOR', 2: 'TEM SEM MEDIDOR', 3: 'NÃO TEM', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V1118,COMODOS,29,2,N,,COMODOS,,
V1138,COMODOS SERVINDO DE DORMITORIO,31,2,N,,COMODOS SERVINDO DE DORMITORIO,,
V1119,"CONDIÇÃO DE OCUPAÇÃO
 - NÃO APLICAVEL
1- PROPRIO - JA PAGO
2- PROPRIO - NÃO PAGO
3- CEDIDO POR EMPREGADOR
4- CEDIDO POR PARTICULAR
5- ALUGADO
6- OUTRO
9- SEM DECLARAÇÃO",33,1,N,8.0,CONDIÇÃO DE OCUPAÇÃO," - NÃO APLICAVEL
1- PROPRIO - JA PAGO
2- PROPRIO - NÃO PAGO
3- CEDIDO POR EMPREGADOR
4- CEDIDO POR PARTICULAR
5- ALUGADO
6- OUTRO
9- SEM DECLARAÇÃO","{1: 'PROPRIO – JA PAGO', 2: 'PROPRIO – NÃO PAGO', 3: 'CEDIDO POR EMPREGADOR', 4: 'CEDIDO POR PARTICULAR', 5: 'ALUGADO', 6: 'OUTRO', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V1120,ALUGUEL OU PRESTAÇÃO MENSAL,34,5,N,,ALUGUEL OU PRESTAÇÃO MENSAL,,
V1121,TEMPO DE RESIDENCIA (MESES/ANO),39,3,N,,TEMPO DE RESIDENCIA (MESES/ANO),,
V1741,NUMERO DE MORADORES DO DOMICILIO COM PENSIONISTA E/OU EMPREGADO,42,2,N,,NUMERO DE MORADORES DO DOMICILIO COM PENSIONISTA E/OU EMPREGADO,,
V1743,"TIPO DE CONSTRUÇÃO
 - NÃO APLICAVEL
1- DURAVEL
2- RUSTICO",44,1,N,3.0,TIPO DE CONSTRUÇÃO," - NÃO APLICAVEL
1- DURAVEL
2- RUSTICO","{1: 'DURAVEL', 2: 'RUSTICO', '': 'NÃO APLICAVEL'}"
V1746,DENSIDADE DE MORADORES POR COMODO,45,3,N,,DENSIDADE DE MORADORES POR COMODO,,
V1747,"DENSIDADE DE MORADORES POR COMODO CATEGORIZADA
 - NÃO APLICAVEL
1- ATE 0,5 MORADOR
2- DE 0,5 A 1,0 MORADOR
3- DE 1,0 A 1,5 MORADORES
4- DE 1,5 A 2,0 MORADORES
5- MAIS DE 2,0 MORADORES
6- SEM DECLARAÇÃO",48,1,N,7.0,DENSIDADE DE MORADORES POR COMODO CATEGORIZADA," - NÃO APLICAVEL
1- ATE 0,5 MORADOR
2- DE 0,5 A 1,0 MORADOR
3- DE 1,0 A 1,5 MORADORES
4- DE 1,5 A 2,0 MORADORES
5- MAIS DE 2,0 MORADORES
6- SEM DECLARAÇÃO","{1: 'ATE 0,5 MORADOR', 2: 'DE 0,5 A 1,0 MORADOR', 3: 'DE 1,0 A 1,5 MORADORES', 4: 'DE 1,5 A 2,0 MORADORES', 5: 'MAIS DE 2,0 MORADORES', 6: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V1749,DENSIDADE DE MORADORES POR DORMITORIO,49,3,N,,DENSIDADE DE MORADORES POR DORMITORIO,,
V1750,"DENSIDADE DE MORADORES POR DORMITORIO CATEGORIAZADA
 - NÃO APLICAVEL
1- ATE 1,0 MORADOR
2- DE 1,0 A 1,5 MORADORES
3- DE 1,5 A 2,0 MORADORES
4- DE 2,0 A 2,5 MORADORES
5- DE 2,5 A 3,0 MORADORES
6- DE 3,0 A 4,0 MORADORES
7- MAIS DE 4,0 MORADORES
8- SEM DECLARAÇÃO",52,1,N,9.0,DENSIDADE DE MORADORES POR DORMITORIO CATEGORIAZADA," - NÃO APLICAVEL
1- ATE 1,0 MORADOR
2- DE 1,0 A 1,5 MORADORES
3- DE 1,5 A 2,0 MORADORES
4- DE 2,0 A 2,5 MORADORES
5- DE 2,5 A 3,0 MORADORES
6- DE 3,0 A 4,0 MORADORES
7- MAIS DE 4,0 MORADORES
8- SEM DECLARAÇÃO","{1: 'ATE 1,0 MORADOR', 2: 'DE 1,0 A 1,5 MORADORES', 3: 'DE 1,5 A 2,0 MORADORES', 4: 'DE 2,0 A 2,5 MORADORES', 5: 'DE 2,5 A 3,0 MORADORES', 6: 'DE 3,0 A 4,0 MORADORES', 7: 'MAIS DE 4,0 MORADORES', 8: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V1751,RENDA MENSAL DOMICILIAR,53,9,N,,RENDA MENSAL DOMICILIAR,,
V1752,"RENDA MENSAL DO DOMICILIO CATEGORIAZADA
 - NÃO APLICAVEL
1- ATE 1 SALARIO MINIMO
2- DE 1 A 2 SALARIOS MINIMOS
3- DE 2 A 5 SALARIOS MINIMOS
4- MAIS DE 5 SALARIOS MINIMOS
5- SEM RENDIMENTO
6- SEM DECLARAÇÃO",62,1,N,7.0,RENDA MENSAL DO DOMICILIO CATEGORIAZADA," - NÃO APLICAVEL
1- ATE 1 SALARIO MINIMO
2- DE 1 A 2 SALARIOS MINIMOS
3- DE 2 A 5 SALARIOS MINIMOS
4- MAIS DE 5 SALARIOS MINIMOS
5- SEM RENDIMENTO
6- SEM DECLARAÇÃO","{1: 'ATE 1 SALARIO MINIMO', 2: 'DE 1 A 2 SALARIOS MINIMOS', 3: 'DE 2 A 5 SALARIOS MINIMOS', 4: 'MAIS DE 5 SALARIOS MINIMOS', 5: 'SEM RENDIMENTO', 6: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V1753,NUMERO DE MORADORES COM RENDA NO DOMICILIO,63,2,N,,NUMERO DE MORADORES COM RENDA NO DOMICILIO,,
V1754,NUMERO DE MORADORES SEM RENDA NO DOMICILIO,65,2,N,,NUMERO DE MORADORES SEM RENDA NO DOMICILIO,,
V1755,"ALUGUEL OU PRESTAÇÃO MENSAL
 - NÃO APLICAVEL
1- ATE 1/2 SALARIO MINIMO
2- DE 1/2 A 1 SALARIO MINIMO
3- DE 1 A 2 SALARIOS MINIMOS
4- DE 2 A 3 SALARIOS MINIMOS
5- DE 3 A 5 SALARIOS MINIMOS
6- MAIS DE 5 SALARIOS MINIMOS
7- SEM DECLARAÇÃO",67,1,N,8.0,ALUGUEL OU PRESTAÇÃO MENSAL," - NÃO APLICAVEL
1- ATE 1/2 SALARIO MINIMO
2- DE 1/2 A 1 SALARIO MINIMO
3- DE 1 A 2 SALARIOS MINIMOS
4- DE 2 A 3 SALARIOS MINIMOS
5- DE 3 A 5 SALARIOS MINIMOS
6- MAIS DE 5 SALARIOS MINIMOS
7- SEM DECLARAÇÃO","{1: 'ATE 1/2 SALARIO MINIMO', 2: 'DE 1/2 A 1 SALARIO MINIMO', 3: 'DE 1 A 2 SALARIOS MINIMOS', 4: 'DE 2 A 3 SALARIOS MINIMOS', 5: 'DE 3 A 5 SALARIOS MINIMOS', 6: 'MAIS DE 5 SALARIOS MINIMOS', 7: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V1756,NUMERO DE MORADORES DO DOMICILIO SEM PENSIONISTA E/OU EMPREGADO,68,2,N,,NUMERO DE MORADORES DO DOMICILIO SEM PENSIONISTA E/OU EMPREGADO,,
V1983,PESO DO DOMICILIO CONSERVADOR,70,6,N,,PESO DO DOMICILIO CONSERVADOR,,
V1995,NOVO PESO DO DOMICILIO,76,6,N,,NOVO PESO DO DOMICILIO,,
V2203,"SEXO
1- HOMEM
2- MULHER",13,1,N,2.0,SEXO,"1- HOMEM
2- MULHER","{1: 'HOMEM', 2: 'MULHER'}"
V2204,"CONDIÇÃO DE PRESENCA
1- MORADOR PRESENTE
2- MORADOR AUSENTE
3- NÃO MORADOR PRESENTE",14,1,N,3.0,CONDIÇÃO DE PRESENCA,"1- MORADOR PRESENTE
2- MORADOR AUSENTE
3- NÃO MORADOR PRESENTE","{1: 'MORADOR PRESENTE', 2: 'MORADOR AUSENTE', 3: 'NÃO MORADOR PRESENTE'}"
V2205,"CONDIÇÃO DE PRESENÇA NO DOMICILIO
VER VARIAVEIS AUXILIARES",15,2,N,25.0,CONDIÇÃO DE PRESENÇA NO DOMICILIO,VER VARIAVEIS AUXILIARES,"{'': 'NÃO APLICAVEL', '1': 'CHEFE', '2': 'CONJUGE', '3': 'FILHO OU ENTEADO', '4': 'FILHO ADOTIVO', '5': 'GENRO OU NORA', '6': 'NETO', '7': 'PAIS OU SOGROS', '8': 'AVO', '9': 'IRMÃO', '10': 'CUNHADO', '11': 'PRIMO', '12': 'TIO', '13': 'SOBRINHO', '14': 'AGREGADO', '15': 'PENSIONISTA OU HOSPEDE', '16': 'EMPREGADO DOMESTICO', '17': 'CONJUGE DO EMPREGADO DOMESTICO', '18': 'FILHO DO EMPREGADO DOMESTICO', '19': 'PARENTE DO EMPREGADO DOMESTICO', '20': 'INDIVIDUAL DOMICILIO COLETIVO', '21': 'CHEFE NÃO MORADOR PRESENTE', '22': 'CONJUGE NÃO MORADOR PRESENTE', '23': 'FILHO OU ENTEADO NÃO MORADOR NÃO', '24': 'FILHO ADOTIVO NÃO MORADOR PRESENTE', '25': 'GENRO E NORA NÃO MORADOR PRESENTE', '26': 'NETO NÃO MORADOR PRESENTE', '27': 'PAIS OU SOGROS NÃO MORADORES PRESENTES', '28': 'AVO NÃO MORADOR PRESENTE', '29': 'IRMÃO NÃO MORADOR PRESENTE', '30': 'CUNHADO NÃO MORADOR PRESENTE', '31': 'PRIMO NÃO MORADOR PRESENTE', '32': 'TIO NÃO MORADOR PRESENTE', '33': 'SOBRINHO NÃO MORADOR PRESENTE', '34': 'AGREGADO NÃO MORADOR PRESENTE', '35': 'HOSPEDE OU PENSIONISTA NÃO MORADORES PRESENTES', '36': 'EMPREGADO DOMESTICO NÃO MORADOR PRESENTE', '37': 'CONJUGE DO EMPREGADO DOMESTICO NÃO MORADOR PRESENTE', '38': 'FILHO DO EMPREGADO DOMESTICO NÃO MORADOR PRESENTE', '39': 'OUTRO PARENTE DO EMPREGADO DOMESTICO NÃO MORADOR PRESENTE'}"
V2206,"CONDIÇÃO NA FAMILIA
VER VARIAVEIS AUXILIARES",17,2,N,25.0,CONDIÇÃO NA FAMILIA,VER VARIAVEIS AUXILIARES,"{'': 'NÃO APLICAVEL', '1': 'CHEFE', '2': 'CONJUGE', '3': 'FILHO OU ENTEADO', '4': 'FILHO ADOTIVO', '5': 'GENRO OU NORA', '6': 'NETO', '7': 'PAIS OU SOGROS', '8': 'AVO', '9': 'IRMÃO', '10': 'CUNHADO', '11': 'PRIMO', '12': 'TIO', '13': 'SOBRINHO', '14': 'AGREGADO', '15': 'PENSIONISTA OU HOSPEDE', '16': 'EMPREGADO DOMESTICO', '17': 'CONJUGE DO EMPREGADO DOMESTICO', '18': 'FILHO DO EMPREGADO DOMESTICO', '19': 'PARENTE DO EMPREGADO DOMESTICO', '20': 'INDIVIDUAL DOMICILIO COLETIVO', '21': 'CHEFE NÃO MORADOR PRESENTE', '22': 'CONJUGE NÃO MORADOR PRESENTE', '23': 'FILHO OU ENTEADO NÃO MORADOR NÃO', '24': 'FILHO ADOTIVO NÃO MORADOR PRESENTE', '25': 'GENRO E NORA NÃO MORADOR PRESENTE', '26': 'NETO NÃO MORADOR PRESENTE', '27': 'PAIS OU SOGROS NÃO MORADORES PRESENTES', '28': 'AVO NÃO MORADOR PRESENTE', '29': 'IRMÃO NÃO MORADOR PRESENTE', '30': 'CUNHADO NÃO MORADOR PRESENTE', '31': 'PRIMO NÃO MORADOR PRESENTE', '32': 'TIO NÃO MORADOR PRESENTE', '33': 'SOBRINHO NÃO MORADOR PRESENTE', '34': 'AGREGADO NÃO MORADOR PRESENTE', '35': 'HOSPEDE OU PENSIONISTA NÃO MORADORES PRESENTES', '36': 'EMPREGADO DOMESTICO NÃO MORADOR PRESENTE', '37': 'CONJUGE DO EMPREGADO DOMESTICO NÃO MORADOR PRESENTE', '38': 'FILHO DO EMPREGADO DOMESTICO NÃO MORADOR PRESENTE', '39': 'OUTRO PARENTE DO EMPREGADO DOMESTICO NÃO MORADOR PRESENTE'}"
V2207,"NUMERO DA FAMILIA
0- INDIVIDUAL
1- UNICA
2- 1ª SECUNDARIA
3- 2ª SECUNDARIA
4- PRINCIPAL
5- TODOS MEMBROS RESIDENTES",19,1,N,6.0,NUMERO DA FAMILIA,"0- INDIVIDUAL
1- UNICA
2- 1ª SECUNDARIA
3- 2ª SECUNDARIA
4- PRINCIPAL
5- TODOS MEMBROS RESIDENTES","{0: 'INDIVIDUAL', 1: 'UNICA', 2: '1ª SECUNDARIA', 3: '2ª SECUNDARIA', 4: 'PRINCIPAL', 5: 'TODOS MEMBROS RESIDENTES'}"
V2208,MÊS DA DATA DO NASCIMENTO,20,2,N,,MÊS DA DATA DO NASCIMENTO,,
V2209,ANO DA DATA DO NASCIMENTO,22,3,N,,ANO DA DATA DO NASCIMENTO,,
V2210,"TEM MAE VIVA?
1- SIM
2- NÃO
3- NÃO SABE
9- SEM DECLARAÇÃO",25,1,N,4.0,TEM MAE VIVA?,"1- SIM
2- NÃO
3- NÃO SABE
9- SEM DECLARAÇÃO","{1: 'SIM', 2: 'NÃO', 3: 'NÃO SABE', 9: 'SEM DECLARAÇÃO'}"
V2211,"SABE LER E ESCREVER?
 - NÃO APLICAVEL
1- SIM
2- ESQUECEU
3- NÃO APRENDEU
9- SEM DECLARAÇÃO",26,1,N,5.0,SABE LER E ESCREVER?," - NÃO APLICAVEL
1- SIM
2- ESQUECEU
3- NÃO APRENDEU
9- SEM DECLARAÇÃO","{1: 'SIM', 2: 'ESQUECEU', 3: 'NÃO APRENDEU', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V2212,"ONDE APRENDEU A LER E A ESCREVER?
 - NÃO APLICAVEL
1- CURSO SERIADO
2- CURSO DO MOBRAL
3- OUTRO CURSO NÃO SERIADO
4- MOBRAL
5- OUTRO NÃO SERIADO
6- NÃO APRENDEU
9- SEM DECLARAÇÃO",27,1,N,8.0,ONDE APRENDEU A LER E A ESCREVER?," - NÃO APLICAVEL
1- CURSO SERIADO
2- CURSO DO MOBRAL
3- OUTRO CURSO NÃO SERIADO
4- MOBRAL
5- OUTRO NÃO SERIADO
6- NÃO APRENDEU
9- SEM DECLARAÇÃO","{1: 'CURSO SERIADO', 2: 'CURSO DO MOBRAL', 3: 'OUTRO CURSO NÃO SERIADO', 4: 'MOBRAL', 5: 'OUTRO NÃO SERIADO', 6: 'NÃO APRENDEU', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V2213,"SERIE QUE FREQUENTA NA ESCOLA
 - NÃO APLICAVEL
0- OUTROS
1- 1ª SERIE
2- 2ª SERIE
3- 3ª SERIE
4- 4ª SERIE
5- 5ª SERIE
6- 6ª SERIE
7- 7ª SERIE
8- 8ª SERIE
9- SEM DECLARAÇÃO",28,1,N,11.0,SERIE QUE FREQUENTA NA ESCOLA," - NÃO APLICAVEL
0- OUTROS
1- 1ª SERIE
2- 2ª SERIE
3- 3ª SERIE
4- 4ª SERIE
5- 5ª SERIE
6- 6ª SERIE
7- 7ª SERIE
8- 8ª SERIE
9- SEM DECLARAÇÃO","{0: 'OUTROS', 1: '1ª SERIE', 2: '2ª SERIE', 3: '3ª SERIE', 4: '4ª SERIE', 5: '5ª SERIE', 6: '6ª SERIE', 7: '7ª SERIE', 8: '8ª SERIE', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V2214,"GRAU QUE FREQUENTA NA ESCOLA
  - NÃO APLICAVEL
 0- NÃO HA GRAU
 1- 1º GRAU
 2- 2º GRAU
 3- MEDIO – 1º CICLO
 4- MEDIO – 2º CICLO
 5- SUPERIOR
 6- ALFABETIAÇÃO DE ADULTOS
 7- ADMISSÃO
 8- SUPLETIVO
 9- ARTIGO 99 – 1º CICLO
10- ARTIGO 99 – 2º CICLO
11- VESTIBULAR
99- SEM DECLARAÇÃO",29,2,N,14.0,GRAU QUE FREQUENTA NA ESCOLA,"  - NÃO APLICAVEL
 0- NÃO HA GRAU
 1- 1º GRAU
 2- 2º GRAU
 3- MEDIO – 1º CICLO
 4- MEDIO – 2º CICLO
 5- SUPERIOR
 6- ALFABETIAÇÃO DE ADULTOS
 7- ADMISSÃO
 8- SUPLETIVO
 9- ARTIGO 99 – 1º CICLO
10- ARTIGO 99 – 2º CICLO
11- VESTIBULAR
99- SEM DECLARAÇÃO","{0: 'NÃO HA GRAU', 1: '1º GRAU', 2: '2º GRAU', 3: 'MEDIO – 1º CICLO', 4: 'MEDIO – 2º CICLO', 5: 'SUPERIOR', 6: 'ALFABETIAÇÃO DE ADULTOS', 7: 'ADMISSÃO', 8: 'SUPLETIVO', 9: 'ARTIGO 99 – 1º CICLO', 10: 'ARTIGO 99 – 2º CICLO', 11: 'VESTIBULAR', 99: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
