VARI,NOME,DESDE,TAM,F,CATEG,quesito,categorias,categorias_dict
V26,"UNIDADE DA FEDERAÇÃO OU PAÍS DE ORIGEM
VER VARIÁVEIS AUXILIARES",34,2,N,97.0,UNIDADE DA FEDERAÇÃO OU PAÍS DE ORIGEM,VER VARIÁVEIS AUXILIARES,"{'': 'NÃO APLICAVEL', '00': 'BRASIL SEM ESPECIFICAÇÃO', '01': 'RONDONIA', '02': 'ACRE', '03': 'AMAZONAS', '04': 'RORAIMA', '05': 'PARA', '06': 'AMAPA', '07': 'MARANHÃO', '08': 'PIAUI', '09': 'CEARA', '10': 'RIO GRANDE DO NORTE', '11': 'PARAIBA', '12': 'PERNAMBUCO', '13': 'ALAGOAS', '14': 'FERNANDO DE NORONHA', '15': 'SERGIPE', '16': 'BAHIA', '17': 'MINAS GERAIS', '18': 'ESPIRITO SANTO', '19': 'RIO DE JANEIRO', '20': 'SÃO PAULO', '21': 'PARANA', '22': 'SANTA CATARINA', '23': 'RIO GRANDE DO SUL', '24': 'MATO GROSSO', '25': 'GOIAS', '26': 'DISTRITO FEDERAL', '30': 'ARGENTINA', '31': 'BOLIVIA', '32': 'BARBADOS', '33': 'CANADA', '34': 'CHILE', '35': 'COLOMBIA', '36': 'COSTA RICA', '37': 'CUBA', '38': 'EL SALVADOR', '39': 'EQUADOR', '40': 'ESTADOS UNIDOS', '41': 'GUATEMALA', '42': 'GUIANA', '43': 'HAITI', '44': 'HONDURAS', '45': 'JAMAICA', '46': 'MEXICO', '47': 'NICARAGUA', '48': 'PANAMA', '49': 'PARAGUAI', '50': 'PERU', '51': 'REPUBLICA DOMINICANA', '52': 'SURINAME', '53': 'TRINIDAD TOBAGO', '54': 'URUGUAI', '55': 'VENEZUELA', '56': 'OUTROS PAISES DA AMERICA', '57': 'ALEMANHA OCIDENTAL', '58': 'ALEMANHA ORIENTAL', '59': 'AUSTRIA', '60': 'BELGICA', '61': 'BULGARIA', '62': 'DINAMARCA', '63': 'ESPANHA', '64': 'FINLANDIA', '65': 'FRANÇA', '66': 'GRÃ–BRETANHA', '67': 'GRECIA', '68': 'HOLANDA', '69': 'HUNGRIA', '70': 'IRLANDA', '71': 'ITALIA', '72': 'IUGOSLAVIA', '73': 'NORUEGA', '74': 'POLONIA', '75': 'PORTUGAL', '76': 'ROMENIA', '77': 'SUECIA', '78': 'SUIÇA', '79': 'TCHECOSLOVAQUIA', '80': 'URSS', '81': 'OUTROS PAISES DA EUROPA', '82': 'EGITO', '83': 'OUTROS PAISES DA AFRICA', '84': 'CHINA CONTINENTAL', '85': 'CHINA FORMOSA', '86': 'COREIA DO NORTE', '87': 'COREIA DO SUL', '88': 'INDIA', '89': 'ISRAEL', '90': 'JAPÃO', '91': 'LIBANO', '92': 'PAQUISTÃO', '93': 'SIRIA', '94': 'TURQUIA', '95': 'OUTROS PAISES DA ASIA', '96': 'AUSTRALIA', '97': 'OUTROS PAISES DA OCEANIA', '99': 'ESTRANGEIRO SEM ESPECIFICAÇÃO'}"
V27,"SITUAÇÃO ONDE NASCEU
0- NÃO APLICAVEL
1- URBANA
2- RURAL
9- SEM DECLARAÇÃO",36,1,N,4.0,SITUAÇÃO ONDE NASCEU,"0- NÃO APLICAVEL
1- URBANA
2- RURAL
9- SEM DECLARAÇÃO","{0: 'NÃO APLICAVEL', 1: 'URBANA', 2: 'RURAL', 9: 'SEM DECLARAÇÃO'}"
V28,QUANTO TEMPO MORA NO MUNICIPIO ATUAL?,37,2,N,,QUANTO TEMPO MORA NO MUNICIPIO ATUAL?,,
V29,QUANTO TEMPO MORA NESTA SITUAÇÃO?,39,2,N,,QUANTO TEMPO MORA NESTA SITUAÇÃO?,,
V30,"UF OU PAIS ESTRANGEIRO ANTES DE MUDAR
VER VARIÁVEIS AUXILIARES",41,2,N,97.0,UF OU PAIS ESTRANGEIRO ANTES DE MUDAR,VER VARIÁVEIS AUXILIARES,"{'': 'NÃO APLICAVEL', '00': 'BRASIL SEM ESPECIFICAÇÃO', '01': 'RONDONIA', '02': 'ACRE', '03': 'AMAZONAS', '04': 'RORAIMA', '05': 'PARA', '06': 'AMAPA', '07': 'MARANHÃO', '08': 'PIAUI', '09': 'CEARA', '10': 'RIO GRANDE DO NORTE', '11': 'PARAIBA', '12': 'PERNAMBUCO', '13': 'ALAGOAS', '14': 'FERNANDO DE NORONHA', '15': 'SERGIPE', '16': 'BAHIA', '17': 'MINAS GERAIS', '18': 'ESPIRITO SANTO', '19': 'RIO DE JANEIRO', '20': 'SÃO PAULO', '21': 'PARANA', '22': 'SANTA CATARINA', '23': 'RIO GRANDE DO SUL', '24': 'MATO GROSSO', '25': 'GOIAS', '26': 'DISTRITO FEDERAL', '30': 'ARGENTINA', '31': 'BOLIVIA', '32': 'BARBADOS', '33': 'CANADA', '34': 'CHILE', '35': 'COLOMBIA', '36': 'COSTA RICA', '37': 'CUBA', '38': 'EL SALVADOR', '39': 'EQUADOR', '40': 'ESTADOS UNIDOS', '41': 'GUATEMALA', '42': 'GUIANA', '43': 'HAITI', '44': 'HONDURAS', '45': 'JAMAICA', '46': 'MEXICO', '47': 'NICARAGUA', '48': 'PANAMA', '49': 'PARAGUAI', '50': 'PERU', '51': 'REPUBLICA DOMINICANA', '52': 'SURINAME', '53': 'TRINIDAD TOBAGO', '54': 'URUGUAI', '55': 'VENEZUELA', '56': 'OUTROS PAISES DA AMERICA', '57': 'ALEMANHA OCIDENTAL', '58': 'ALEMANHA ORIENTAL', '59': 'AUSTRIA', '60': 'BELGICA', '61': 'BULGARIA', '62': 'DINAMARCA', '63': 'ESPANHA', '64': 'FINLANDIA', '65': 'FRANÇA', '66': 'GRÃ–BRETANHA', '67': 'GRECIA', '68': 'HOLANDA', '69': 'HUNGRIA', '70': 'IRLANDA', '71': 'ITALIA', '72': 'IUGOSLAVIA', '73': 'NORUEGA', '74': 'POLONIA', '75': 'PORTUGAL', '76': 'ROMENIA', '77': 'SUECIA', '78': 'SUIÇA', '79': 'TCHECOSLOVAQUIA', '80': 'URSS', '81': 'OUTROS PAISES DA EUROPA', '82': 'EGITO', '83': 'OUTROS PAISES DA AFRICA', '84': 'CHINA CONTINENTAL', '85': 'CHINA FORMOSA', '86': 'COREIA DO NORTE', '87': 'COREIA DO SUL', '88': 'INDIA', '89': 'ISRAEL', '90': 'JAPÃO', '91': 'LIBANO', '92': 'PAQUISTÃO', '93': 'SIRIA', '94': 'TURQUIA', '95': 'OUTROS PAISES DA ASIA', '96': 'AUSTRALIA', '97': 'OUTROS PAISES DA OCEANIA', '99': 'ESTRANGEIRO SEM ESPECIFICAÇÃO'}"
V31,"SITUAÇÃO ANTERIOR
 - NÃO APLICAVEL
1- URBANA
2- RURAL
9- SEM DECLARAÇÃO",43,1,N,4.0,SITUAÇÃO ANTERIOR," - NÃO APLICAVEL
1- URBANA
2- RURAL
9- SEM DECLARAÇÃO","{1: 'URBANA', 2: 'RURAL', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V32,"MUNICIO ANTERIOR
VER VARIÁVEIS AUXILIARES",44,2,N,92.0,MUNICIO ANTERIOR,VER VARIÁVEIS AUXILIARES,"{'': 'NÃO APLICAVEL', '0': 'NÃO APLICAVEL 1.02', '1': 'DUQUE DE CAXIAS', '2': 'ITABORAI', '3': 'ITAGUAI', '4': 'MAGE', '5': 'MARICA', '6': 'NILOPOLIS', '7': 'NITEROI', '8': 'NOVA IGUAÇU', '9': 'PARACAMBI', '10': 'PETROPOLIS', '11': 'RIO DE JANEIRO', '12': 'SÃO GONÇALO', '13': 'SÃO JOÃO DE MERITI', '14': 'MANGARATIBA', '15': 'ARUJA', '16': 'BARUERI', '17': 'BIRITIBA–MIRIM', '18': 'CAIEIRAS', '19': 'CAJAMAR', '20': 'CARAPICUIBA', '21': 'COTIA', '22': 'DIADEMA', '23': 'EMBU', '24': 'EMBU–GUAÇU', '25': 'FERRAZ DE VASCONCELOS', '26': 'FRANCISCO MORATO', '27': 'FRANCO DA ROCHA', '28': 'GUARAREMA', '29': 'GUARULHOS', '30': 'ITAPECERICA DA SERRA', '31': 'ITAPEVI', '32': 'ITAQUAQUECETUBA', '33': 'JANDIRA', '34': 'JUQUITIBA', '35': 'MAIRIPORA', '36': 'MAUA', '37': 'MOGI DAS CRUZES', '38': 'OSASCO', '39': 'PIRAPORA BOM JESUS', '40': 'POA', '41': 'RIBEIRÃO PIRES', '42': 'RIO GRANDE SERRA', '43': 'SALESOPOLIS', '44': 'SANTA ISABEL', '45': 'SANTANA PARNAIBA', '46': 'SANTO ANDRE', '47': 'SÃO BERNARDO DO CAMPO', '48': 'SÃO CAETANO DO SUL', '49': 'SÃO PAULO', '50': 'SUZANO', '51': 'TABOÃO DA SERRA', '52': 'ALVORADA', '53': 'CACHOEIRINHA', '54': 'CAMPO BOM', '55': 'CANOAS', '56': 'ESTANCIA VELHA', '57': 'ESTEIO', '58': 'GRAVATAI', '59': 'GUAIBA', '60': 'NOVO HAMBURGO', '61': 'PORTO ALEGRE', '62': 'SÃO LEOPOLDO', '63': 'SAPIRANGA', '64': 'SAPUCAIA DO SUL', '65': 'VIAMÃO', '66': 'BELO HORIZONTE', '67': 'BETIM', '68': 'CAETE', '69': 'CONTAGEM', '70': 'IBIRITE', '71': 'LAGOA SANTA', '72': 'NOVA LIMA', '73': 'PEDRO LEOPOLDO', '74': 'RAPOSOS', '75': 'RIBEIRÃO NEVES', '76': 'RIO ACIMA', '77': 'SABARA', '78': 'SANTA LUZIA', '79': 'VESPASIANO', '80': 'CABO', '81': 'IGARASSU', '82': 'JABOATÃO', '83': 'MORENO', '84': 'OLINDA', '85': 'PAULISTA', '86': 'RECIFE', '87': 'SÃO LOURENÇO DA MATA', '88': 'ITAMARACA', '98': 'FORA DA AREA METROPOLITANA', '99': 'SEM DECLARAÇÃO'}"
V33,"SABE LER E ESCREVER?
 - NÃO APLICAVEL OU MENOR DE 5 ANOS
1- SIM
2- ESQUECEU
3- NÃO APRENDEU
9- SEM DECLARAÇÃO",46,1,N,5.0,SABE LER E ESCREVER?," - NÃO APLICAVEL OU MENOR DE 5 ANOS
1- SIM
2- ESQUECEU
3- NÃO APRENDEU
9- SEM DECLARAÇÃO","{1: 'SIM', 2: 'ESQUECEU', 3: 'NÃO APRENDEU', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL OU MENOR DE 5 ANOS'}"
V34,"ONDE APRENDEU A LER E ESCREVER?
 - NÃO APLICAVEL OU MENOR DE 5 ANOS
1- ESCOLA REGULAR
2- ESCOLA PUBLICA
3- MOBRAL
4- OUTRA FORMA
3- NÃO SABE LER NEM ESCREVER
9- SEM DECLARAÇÃO",47,1,N,7.0,ONDE APRENDEU A LER E ESCREVER?," - NÃO APLICAVEL OU MENOR DE 5 ANOS
1- ESCOLA REGULAR
2- ESCOLA PUBLICA
3- MOBRAL
4- OUTRA FORMA
3- NÃO SABE LER NEM ESCREVER
9- SEM DECLARAÇÃO","{1: 'ESCOLA REGULAR', 2: 'ESCOLA PUBLICA', 3: 'NÃO SABE LER NEM ESCREVER', 4: 'OUTRA FORMA', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL OU MENOR DE 5 ANOS'}"
V35,"SERIE QUE FREQUENTA NA ESCOLA
 - NÃO APLICAVEL
0- OUTROS
1- 1ª SERIE
2- 2ª SERIE
3- 3ª SERIE
4- 4ª SERIE
5- 5ª SERIE
6- 6ª SERIE
7- 7ª SERIE
8- 8ª SERIE
9- SEM DECLARAÇÃO",48,1,N,11.0,SERIE QUE FREQUENTA NA ESCOLA," - NÃO APLICAVEL
0- OUTROS
1- 1ª SERIE
2- 2ª SERIE
3- 3ª SERIE
4- 4ª SERIE
5- 5ª SERIE
6- 6ª SERIE
7- 7ª SERIE
8- 8ª SERIE
9- SEM DECLARAÇÃO","{0: 'OUTROS', 1: '1ª SERIE', 2: '2ª SERIE', 3: '3ª SERIE', 4: '4ª SERIE', 5: '5ª SERIE', 6: '6ª SERIE', 7: '7ª SERIE', 8: '8ª SERIE', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V36,"GRAU QUE FREQUENTA NA ESCOLA
  - NÃO APLICAVEL
 0- NÃO HA SERIE
 1- PRIMEIRO GRAU
 2- SEGUNDO GRAU
 3- MEDIO PRIMEIRO CICLO
 4- MEDIO SEGUNDO CICLO
 5- SUPERIOR
 6- ALFABETIZAÇÃO DE ADULTOS
 7- ADMISSÃO
 8- SUPLETIVO
 9- ARTIGO 99 - PRIMEIRO CICLO
10- ARTIGO 99 - SEGUNDO CICLO
11- VESTIBULAR
99- SEM DECLARAÇÃ",49,2,N,14.0,GRAU QUE FREQUENTA NA ESCOLA,"  - NÃO APLICAVEL
 0- NÃO HA SERIE
 1- PRIMEIRO GRAU
 2- SEGUNDO GRAU
 3- MEDIO PRIMEIRO CICLO
 4- MEDIO SEGUNDO CICLO
 5- SUPERIOR
 6- ALFABETIZAÇÃO DE ADULTOS
 7- ADMISSÃO
 8- SUPLETIVO
 9- ARTIGO 99 - PRIMEIRO CICLO
10- ARTIGO 99 - SEGUNDO CICLO
11- VESTIBULAR
99- SEM DECLARAÇÃ","{0: 'NÃO HA SERIE', 1: 'PRIMEIRO GRAU', 2: 'SEGUNDO GRAU', 3: 'MEDIO PRIMEIRO CICLO', 4: 'MEDIO SEGUNDO CICLO', 5: 'SUPERIOR', 6: 'ALFABETIZAÇÃO DE ADULTOS', 7: 'ADMISSÃO', 8: 'SUPLETIVO', 9: 'ARTIGO 99 – PRIMEIRO CICLO', 10: 'ARTIGO 99 – SEGUNDO CICLO', 11: 'VESTIBULAR', 99: 'SEM DECLARAÇÃ', '': 'NÃO APLICAVEL'}"
V37,"ULTIMA SERIE NÃO FREQUENTADA
 - NÃO APLICAVEL
0- NÃO HA SERIE
1- 1ª SERIE
2- 2ª SERIE
3- 3ª SERIE
4- 4ª SERIE
5- 5ª SERIE
6- 6ª SERIE
7- 7ª SERIE
8- 8ª SERIE
9- SEM DECLARAÇÃO",51,1,N,11.0,ULTIMA SERIE NÃO FREQUENTADA," - NÃO APLICAVEL
0- NÃO HA SERIE
1- 1ª SERIE
2- 2ª SERIE
3- 3ª SERIE
4- 4ª SERIE
5- 5ª SERIE
6- 6ª SERIE
7- 7ª SERIE
8- 8ª SERIE
9- SEM DECLARAÇÃO","{0: 'NÃO HA SERIE', 1: '1ª SERIE', 2: '2ª SERIE', 3: '3ª SERIE', 4: '4ª SERIE', 5: '5ª SERIE', 6: '6ª SERIE', 7: '7ª SERIE', 8: '8ª SERIE', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V38,"ULTIMO GRAU NÃO FREQUENTADO
 - NÃO APLICAVEL
0- NÃO HA SERIE
1- PRIMEIRO GRAU
2- SEGUNDO GRAU
3- MEDIO PRIMEIRO CICLO
4- MEDIO SEGUNDO CICLO
5- SUPERIOR
9- SEM DECLARAÇÃO",52,1,N,8.0,ULTIMO GRAU NÃO FREQUENTADO," - NÃO APLICAVEL
0- NÃO HA SERIE
1- PRIMEIRO GRAU
2- SEGUNDO GRAU
3- MEDIO PRIMEIRO CICLO
4- MEDIO SEGUNDO CICLO
5- SUPERIOR
9- SEM DECLARAÇÃO","{0: 'NÃO HA SERIE', 1: 'PRIMEIRO GRAU', 2: 'SEGUNDO GRAU', 3: 'MEDIO PRIMEIRO CICLO', 4: 'MEDIO SEGUNDO CICLO', 5: 'SUPERIOR', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V39,"ESTADO CONJUGAL
 - MENOR DE 15 ANOS
1- CIVIL E RELIGIOSO
2- SO CIVIL
3- SO RELIGIOSO
4- OUTRA (CASADO)
5- SOLTEIRO
6- SEPARADO
7– DESQUITADO OU DIVORCIADO
8- VIUVO
9- SEM DECLARAÇÃO",53,1,N,10.0,ESTADO CONJUGAL," - MENOR DE 15 ANOS
1- CIVIL E RELIGIOSO
2- SO CIVIL
3- SO RELIGIOSO
4- OUTRA (CASADO)
5- SOLTEIRO
6- SEPARADO
7– DESQUITADO OU DIVORCIADO
8- VIUVO
9- SEM DECLARAÇÃO","{1: 'CIVIL E RELIGIOSO', 2: 'SO CIVIL', 3: 'SO RELIGIOSO', 4: 'OUTRA (CASADO)', 5: 'SOLTEIRO', 6: 'SEPARADO', 7: 'DESQUITADO OU DIVORCIADO', 8: 'VIUVO', 9: 'SEM DECLARAÇÃO', '': 'MENOR DE 15 ANOS'}"
V40,"PRIMEIRA UNIÃO
 - HOMEM MAIOR DE 15 ANOS
1- SIM
2- NÃO
3- NÃO CASADA
9- SEM DECLARAÇÃO",54,1,N,5.0,PRIMEIRA UNIÃO," - HOMEM MAIOR DE 15 ANOS
1- SIM
2- NÃO
3- NÃO CASADA
9- SEM DECLARAÇÃO","{1: 'SIM', 2: 'NÃO', 3: 'NÃO CASADA', 9: 'SEM DECLARAÇÃO', '': 'HOMEM MAIOR DE 15 ANOS'}"
V41,IDADE AO TER O 1º FILHO,55,2,N,,IDADE AO TER O 1º FILHO,,
