VARI,NOME,DESDE,TAM,CODI,S,F,C,CATEG,RENO,TE,categorias_dict,quesito
V201,ESPÉCIE DO DOMICÍLIO,31,1,,,N,,4,,,{'6': 'COLETIVO'},ESPÉCIE DO DOMICÍLIO
V202,TIPO DE DOMICÍLIO,32,1,,,N,,6,,,"{'1': 'CASA', '3': 'APARTAMENTO', '5': 'RÚSTICO', '7': 'QUARTO/COMODO', '9': 'SEM DECLARAÇÃO'}",TIPO DE DOMICÍLIO
V203,PAREDE,33,1,,,N,,7,,,"{'0': 'ALVENARIA', '2': 'MADEIRA APARELHADA', '4': 'TAIPA NÃO REVESTID', '6': 'MADEIRA APROVEITAD', '8': 'OUTRA', '9': 'SEM DECLARAÇÃO'}",PAREDE
V204,PISO,34,1,,,N,,8,,,"{'1': 'MADEIRA APARELHADA', '3': 'CIMENTO', '5': 'CERÂMICA', '6': 'TERRA', '7': 'MADEIRA APROVEITAD', '8': 'OUTRO', '9': 'SEM DECLARAÇÃO'}",PISO
V205,COBERTURA,35,1,,,N,,8,,,"{'0': 'LAJE DE CONCRETO', '2': 'TELHA DE BARRO', '4': 'ZINCO', '6': 'MADEIRA APARELHADA', '7': 'MADEIRA APROVEITAD', '8': 'OUTRA', '9': 'SEM DECLARAÇÃO'}",COBERTURA
V206,ABASTECIMENTO DE ÁGUA,36,1,,,N,,8,,,"{'1': 'REDE GERAL CCI', '2': 'POÇO/NASC  CCI', '3': 'OUTRA      CCI', '4': 'REDE GERAL SCI', '5': 'POÇO/NASC  SCI', '6': 'OUTRA      SCI', '9': 'SEM DECLARAÇÃO'}",ABASTECIMENTO DE ÁGUA
V207,ESGOTAMENTO SANITÁRIO,37,1,,,N,,7,,,"{'0': 'REDE GERAL', '2': 'FOSSA SÉPTICA', '4': 'FOSSA RUDIMENTAR', '6': 'OUTRO', '8': 'NÃO TEM', '9': 'SEM DECLARAÇÃO'}",ESGOTAMENTO SANITÁRIO
V209,DESTINO DO LIXO,39,1,,,N,,7,,,"{'0': 'COLETADO', '2': 'QUEIMADO', '4': 'ENTERRADO', '6': 'TERRENO BALDIO', '8': 'OUTRO', '9': 'SEM DECLARAÇÃO'}",DESTINO DO LIXO
V210,ILUMINAÇÃO ELÉTRICA,40,1,,,N,,4,,,"{'1': 'TEM', '3': 'NÃO TEM', '9': 'SEM DECLARAÇÃO'}",ILUMINAÇÃO ELÉTRICA
V211,NÚMERO DE COMODOS,41,2,,,N,,32,,,"{'1': '1 COMODO', '2': '2 COMODOS', '3': '3 COMODOS', '4': '4 COMODOS', '5': '5 COMODOS', '6': '6 COMODOS', '7': '7 COMODOS', '8': '8 COMODOS', '9': '9 COMODOS', '10': '10 COMODOS', '11': '11 COMODOS', '12': '12 COMODOS', '13': '13 COMODOS', '14': '14 COMODOS', '15': '15 COMODOS', '16': '16 COMODOS', '17': '17 COMODOS', '18': '18 COMODOS', '19': '19 COMODOS', '20': '20 COMODOS', '21': '21 COMODOS', '22': '22 COMODOS', '23': '23 COMODOS', '24': '24 COMODOS', '25': '25 COMODOS', '26': '26 COMODOS', '27': '27 COMODOS', '28': '28 COMODOS', '29': '29 COMODOS', '30': '30 COMODOS', '99': 'SEM DECLARAÇÃO'}",NÚMERO DE COMODOS
V231,SERVINDO DE DORMITÓRIO,43,2,,,N,,17,,,"{'1': '1 DORMITÓRIO', '2': '2 DORMITÓRIOS', '3': '3 DORMITÓRIOS', '4': '4 DORMITÓRIOS', '5': '5 DORMITÓRIOS', '6': '6 DORMITÓRIOS', '7': '7 DORMITÓRIOS', '8': '8 DORMITÓRIOS', '9': '9 DORMITÓRIOS', '10': '10 DORMITÓRIOS', '11': '11 DORMITÓRIOS', '12': '12 DORMITÓRIOS', '13': '13 DORMITÓRIOS', '14': '14 DORMITÓRIOS', '15': '15 DORMITÓRIOS', '99': 'SEM DECLARAÇÃO'}",SERVINDO DE DORMITÓRIO
V212,CONDIÇÃO DE OCUPAÇÃO,45,1,,,N,,7,,,"{'0': 'PRÓPRIO JÁ PAGOU', '2': 'PRÓPRIO NÃO PAGOU', '4': 'ALUGADO', '6': 'CEDIDO', '8': 'OUTRA', '9': 'SEM DECLARAÇÃO'}",CONDIÇÃO DE OCUPAÇÃO
V213,ALUGUEL/PRESTAÇÃO MENSAL,46,9,,,N,,,,,{},ALUGUEL/PRESTAÇÃO MENSAL
V214,FILTRO,55,1,,,N,,4,,,"{'1': 'TEM', '3': 'NÃO TEM', '9': 'SEM DECLARAÇÃO'}",FILTRO
V215,FOGÃO,56,1,,,N,,4,,,"{'2': 'TEM', '4': 'NÃO TEM', '9': 'SEM DECLARAÇÃO'}",FOGÃO
V216,GELADEIRA,57,1,,,N,,4,,,"{'1': 'TEM', '3': 'NÃO TEM', '9': 'SEM DECLARAÇÃO'}",GELADEIRA
V217,RADIO,58,1,,,N,,4,,,"{'1': 'TEM', '3': 'NÃO TEM', '9': 'SEM DECLARAÇÃO'}",RADIO
V218,TELEVISÃO,59,1,,,N,,4,,,"{'1': 'TEM', '3': 'NÃO TEM', '9': 'SEM DECLARAÇÃO'}",TELEVISÃO
V409,TIPO DE CONSTRUÇÃO,60,1,,,N,,3,,,"{'1': 'DURÁVEIS', '2': 'RÚSTICOS'}",TIPO DE CONSTRUÇÃO
V410,RENDA MENSAL DOMICILIAR,61,9,,,N,,,,,{},RENDA MENSAL DOMICILIAR
V411,CLASSES RENDA DOMICILIAR,70,1,,,N,,8,,,"{'1': 'ATÉ 1', '2': 'MAIS DE 1 A 2', '3': 'MAIS DE 2 A 5', '4': 'MAIS DE 5 A 10', '5': 'MAIS DE 10 A 20', '6': 'MAIS DE 20', '7': 'SEM RENDIMENTO', '8': 'SEM DECLARAÇÃO'}",CLASSES RENDA DOMICILIAR
V412,DENSIDADE MORADOR/COMODO,71,3,,,N,,,,,{},DENSIDADE MORADOR/COMODO
V413,DENS. MOR/COMODO CATEG.,74,1,,,N,,6,,,"{'1': 'ATÉ 0.5', '2': 'MAIS 0.5 A 1.0', '3': 'MAIS 1.0 A 1.5', '4': 'MAIS 1.5 A 2.0', '5': 'MAIS DE 2.0', '6': 'SEM DECLARAÇÃO'}",DENS. MOR/COMODO CATEG.
V414,DENSIDADE MOR/DORMITÓRIO,75,3,,,N,,,,,{},DENSIDADE MOR/DORMITÓRIO
V415,DENS. MOR/DORMITÓRIO CAT,78,1,,,N,,8,,,"{'1': 'ATÉ 1.0', '2': 'MAIS 1.0 A 1.5', '3': 'MAIS 1.5 A 2.0', '4': 'MAIS 2.0 A 2.5', '5': 'MAIS 2.5 A 3.0', '6': 'MAIS 3.0 A 4.0', '7': 'MAIS DE 4.0', '8': 'SEM DECLARAÇÃO'}",DENS. MOR/DORMITÓRIO CAT
V303,SEXO,27,1,,,N,,2,,,"{'1': 'HOMEM', '3': 'MULHER'}",SEXO
V304,COR,28,1,,,N,,5,,,"{'2': 'BRANCA', '4': 'PRETA', '6': 'PARDA', '8': 'AMARELA', '9': 'SEM DECLARAÇÃO'}",COR
V305,CONDIÇÃO NO DOMICÍLIO,29,1,,,N,,8,,,"{'1': 'CHEFE', '2': 'CONJUGE', '3': 'FILHO', '4': 'OUTRO PARENTE', '5': 'AGREGADO', '6': 'PENSIONISTA', '7': 'EMPREG.DOMÉSTICO', '8': 'PARENTE EMPR.DOM'}",CONDIÇÃO NO DOMICÍLIO
V306,CONDIÇÃO NA FAMÍLIA,30,1,,,N,,8,305,,"{'1': 'CHEFE', '2': 'CONJUGE', '3': 'FILHO', '4': 'OUTRO PARENTE', '5': 'AGREGADO', '6': 'PENSIONISTA', '7': 'EMPREG.DOMÉSTICO', '8': 'PARENTE EMPR.DOM'}",CONDIÇÃO NA FAMÍLIA
V307,NÚMERO DA FAMÍLIA,31,1,,,N,,9,,,"{'1': 'UMA FAMÍLIA', '2': 'DUAS FAMÍLIAS', '3': 'TRES FAMÍLIAS', '4': 'QUATRO FAMÍLIAS', '5': 'CINCO FAMÍLIAS', '6': 'SEIS FAMÍLIAS', '7': 'SETE FAMÍLIAS', '8': 'OITO FAMÍLIAS', '9': 'NOVE FAMÍLIAS'}",NÚMERO DA FAMÍLIA
V308,DIA DE NASCIMENTO,32,2,,,N,,33,,,"{'0': 'IDADE PRESUMIDA', '1': 'DIA  1', '2': 'DIA  2', '3': 'DIA  3', '4': 'DIA  4', '5': 'DIA  5', '6': 'DIA  6', '7': 'DIA  7', '8': 'DIA  8', '9': 'DIA  9', '10': 'DIA 10', '11': 'DIA 11', '12': 'DIA 12', '13': 'DIA 13', '14': 'DIA 14', '15': 'DIA 15', '16': 'DIA 16', '17': 'DIA 17', '18': 'DIA 18', '19': 'DIA 19', '20': 'DIA 20', '21': 'DIA 21', '22': 'DIA 22', '23': 'DIA 23', '24': 'DIA 24', '25': 'DIA 25', '26': 'DIA 26', '27': 'DIA 27', '28': 'DIA 28', '29': 'DIA 29', '30': 'DIA 30', '31': 'DIA 31', '99': 'SEM DECLARAÇÃO'}",DIA DE NASCIMENTO
V309,MÊS DE NASCIMENTO,34,2,,,N,,14,,,"{'1': 'JANEIRO', '2': 'FEVEREIRO', '3': 'MARÇO', '4': 'ABRIL', '5': 'MAIO', '6': 'JUNHO', '7': 'JULHO', '8': 'AGOSTO', '9': 'SETEMBRO', '10': 'OUTUBRO', '11': 'NOVEMBRO', '12': 'DEZEMBRO', '20': 'ID.PRESUM.MORAD', '99': 'SEM DECLARAÇÃO'}",MÊS DE NASCIMENTO
V310,ANO DE NASCIMENTO,36,3,,,N,,,,,{},ANO DE NASCIMENTO
V805,IDADE CALCULADA,39,3,,,N,,,,,{},IDADE CALCULADA
V311,SABE LER E ESCREVER,42,1,,,N,,4,,,"{'1': 'SIM', '3': 'NÃO', '9': 'SEM DECLARAÇÃO'}",SABE LER E ESCREVER
V312,SÉRIE-FREQUENTA ESCOLA,43,1,,,N,,11,,,"{'0': 'NÃO FREQUENTA', '1': '1 SÉRIE', '2': '2 SÉRIE', '3': '3 SÉRIE', '4': '4 SÉRIE', '5': '5 SÉRIE', '6': '6 SÉRIE', '7': '7 SÉRIE', '8': '8 SÉRIE', '9': 'SEM DECLARAÇÃO'}",SÉRIE-FREQUENTA ESCOLA
V314,GRAU-FREQUENTA ESCOLA,44,2,,,N,,15,,,"{'00': 'NÃO FREQUENTA', '04': '1 GRAU', '05': '2 GRAU', '06': 'SUPERIOR', '07': 'PRÉ-ESCOLAR', '08': 'ALF.ADULTOS', '09': 'SUPLET. 1 GRAU', '10': 'SUPLET. 2 GRAU', '11': 'SUP. 1 GRAU/RTV', '12': 'SUP. 2 GRAU/RTV', '13': 'SUP.SEM ESPECIF', '14': 'VESTIBULAR', '15': 'DOUTOR/MESTRADO', '99': 'SEM DECLARAÇÃO'}",GRAU-FREQUENTA ESCOLA
V315,SÉRIE-NÃO FREQUENTA,46,1,,,N,,11,,,"{'0': 'NÃO FREQUENTA', '1': '1 SÉRIE', '2': '2 SÉRIE', '3': '3 SÉRIE', '4': '4 SÉRIE', '5': '5 SÉRIE', '6': '6 SÉRIE', '7': '7 SÉRIE', '8': '8 SÉRIE', '9': 'SEM DECLARAÇÃO'}",SÉRIE-NÃO FREQUENTA
V317,GRAU-NÃO FREQUENTA,47,2,,,N,,10,,,"{'00': 'NÃO FREQUENTA', '01': 'ELEMENTAR', '02': 'MÉDIO 1 CICLO', '03': 'MÉDIO 2 CICLO', '04': '1 GRAU', '05': '2 GRAU', '06': 'SUPERIOR', '07': 'DOUTORADO/MESTRADO', '99': 'SEM DECLARAÇÃO'}",GRAU-NÃO FREQUENTA
V501,QUE FEZ NA SEMANA,49,1,,,N,,9,,,"{'1': 'TRABALHOU', '2': 'TINHA TRABALHO', '3': 'PROCUROU TRABALHO', '4': 'ESTUDANTE', '5': 'AFAZER.DOMÉSTICO', '6': 'APOSENT/PENSIONIST', '7': 'OUTRA', '9': 'SEM DECLARAÇÃO'}",QUE FEZ NA SEMANA
V502,TINHA OUTRO TRABALHO/SEM,50,1,,,N,,4,,,"{'1': 'SIM', '3': 'NÃO', '9': 'IGNORADO'}",TINHA OUTRO TRABALHO/SEM
V503,OCUPAÇÃO NA SEMANA,51,3,,,N,,367,,,"{'1': 'AGRICULTOR', '2': 'CRIADOR BOVINO', '3': 'AVICULTOR', '4': 'CRIADOR DIVERSOS', '5': 'PROP.AGROP.S/ESP', '6': 'EMP.EXT.VEG.PESC', '7': 'EMP. EXTR. MINERAL', '9': 'EMP. CONSTR. CIVIL', '10': 'COMERCIANTE', '11': 'HOTEL DON PENSÃO', '12': 'EMPRESA TRANSPORTE', '20': 'MINISTRO ETC', '21': 'DIRETOR ASSESSOR', '30': 'ADM. AGROPEC.', '31': 'ADM.EXT.VEG.PESCA', '32': 'ADM.EXT. MINERAL', '34': 'ADM.CONSTR.CIVIL', '35': 'ADM.COM.MERCADORIA', '36': 'ADM. HOTEIS', '37': 'ADM. TRANSPORTES', '38': 'ADM. FINANCEIRAS', '39': 'OUTROS ADMINISTR', '40': 'ENCARREGADO ADMI', '50': 'FISCAIS TRIBUTOS', '51': 'INSPET. TRABALHO', '53': 'CAIXAS', '54': 'ALMOXARIFES', '55': 'EXPEDIDORES', '56': 'DATILOGRAFOS', '57': 'OP.TELEIMPRESSOR', '58': 'OP.MAQ.P.AUTOMAT', '59': 'SECRETARIAS', '60': 'AUX.CONTABILIDADE', '61': 'OP.COPIADORAS', '62': 'ARQUIVISTAS', '63': 'RECEPCIONISTAS', '64': 'AUX. ADMINISTRATIV', '65': 'AUX. ESCRITÓRIO', '101': 'ENGENHEIRO', '102': 'ARQUITETOS', '103': 'AGRIMENSORES', '104': 'CARTÓGRAFOS', '111': 'DESENHISTAS', '112': 'TÉC.EDIFICAÇÃO', '113': 'OUTR. OCUP. ENG.', '121': 'QUÍMICOS', '122': 'FARMACEUTICOS', '123': 'FÍSICOS', '124': 'GEÓLOGOS MINERAL.', '125': 'OUT.QUIMICA/FÍSICA', '131': 'TÉC. QUIMICOS', '132': 'PRATICO FARMÁCIA', '133': 'TEC.METEOROLOGIA', '141': 'AGRONOMOS', '142': 'BIOLOGISTAS', '143': 'FARMACOLOGISTAS', '144': 'VETERINÁRIOS', '151': 'MÉDICOS', '152': 'DENTISTAS', '153': 'ENFERMEIROS DIP', '154': 'OUT. MEDICINA', '161': 'ACADEMICO HOSP', '163': 'MASSAGISTAS', '164': 'ORTOPTISTAS/ÓTICA', '165': 'OP.EQ.MÉDICOS', '166': 'PARTEIRAS', '167': 'PROTETICOS', '168': 'TÉC.ANAL.CLÍNICA', '171': 'MATEMÁTICOS', '172': 'ESTATÍSTICOS', '173': 'ANAL. SISTEMAS', '181': 'ECONOMISTAS', '182': 'CONTADORES', '183': 'TEC. ADMINISTRAÇÃO', '191': 'TEC. CONTABILIDADE', '192': 'TEC. ESTATÍSTICA', '193': 'PROG. COMPUTADOR', '201': 'SOCIOLOGOS ETC', '202': 'PSICOLOGOS', '203': 'GEOGRAFOS', '204': 'ASSIST. SOCIAIS', '205': 'OUT. CIENT. SOC.', '211': 'PROF. PESQUISADOR', '212': 'PROF. SUPERIOR', '213': 'PROF. 2.GRAU', '214': 'PROF.5 A 8 SÉRIE', '215': 'PROF.1 A 4 SÉRIE', '216': 'PROF. 1. GRAU', '217': 'PROF. PRÉ.ESC.', '218': 'PROF. PROFISS.', '219': 'PROFESSOR', '221': 'ORIENT. ENSINO', '222': 'INSPETOR ALUNOS', '231': 'MAGISTRADOS', '232': 'PROCURADORES ETC', '233': 'ADVOGADOS ETC', '241': 'TABELIÃES', '242': 'ESCRIVÃES', '243': 'OFICIAIS JUSTIÇA', '244': 'OUT.AUX.JUSTIÇA', '251': 'RELIGIOSOS', '261': 'ESCRITOR JORNALIST', '271': 'ESCULTOR PINTOR', '272': 'ARTESÃO', '273': 'DECORADOR/CENOGR', '274': 'FOTOGRAFOS', '275': 'MUSICOS/COMPOSITOR', '276': 'ART.TV.CINE.TEATRO', '277': 'ART. DE CIRCO', '280': 'CINEGRAFISTAS ETC', '282': 'OUT.OP.RADIO/TV', '283': 'OP.PROJETO CINEMA', '291': 'BIBLIOTECARIOS', '293': 'OUT.OCUP.', '301': 'PROD AGROP AUT', '302': 'TECN AGROPECUÁRIO', '321': 'CAÇADORES', '322': 'PESCADORES', '331': 'MADEIREIROS', '332': 'LENHADORES', '333': 'CARVOEIROS', '334': 'SERINGUEIROS', '335': 'ERVATEIROS', '341': 'MINEIROS', '345': 'CANTEIROS/MARROEI', '351': 'OP MAQ EXT MINERI', '371': 'GARIMPEIROS', '381': 'SALINEIROS', '391': 'SONDAD.POÇO GÁS', '401': 'TEC EMP EXT MIN', '402': 'TEC IND TRANSF', '403': 'MESTRES IND TEXT', '404': 'MESTRE CONST CIVIL', '406': 'OUTROS MESTRES', '411': 'FORNEIRO METALUR', '412': 'LAMINADORES', '413': 'TREFILADORES', '414': 'MODELADORES MACH', '415': 'GALVANIZADOR ETC', '417': 'POLIDORES ESMERIL', '418': 'FERRAMENTEIROS', '419': 'ESTAMPADORES MECA', '420': 'OPERADOR PRENSA', '421': 'FRESADOR/FURADOR', '422': 'TORNEIRO MECÂNICO', '423': 'AJUSTADOR MONTADOR', '424': 'MECÂNICO VEÍCULO', '425': 'MECÂNICOS', '426': 'SOLDADORES', '427': 'REBITADORES', '428': 'CALDEIREIROS', '430': 'FUNILEIROS', '431': 'LANTERNEIROS', '441': 'CARDADOR/PENTEAD', '442': 'MACAROQUEIRO BOB', '443': 'FIANDEIROS', '444': 'RENDEIROS', '445': 'URDIDORES', '446': 'CORDOEIROS', '447': 'TECELÕES', '448': 'TAPECEIROS', '449': 'REDEIROS', '450': 'ALVEJADORES TINT', '451': 'ESTAMPADOR TEXTIL', '452': 'ACABADOR D PANO', '461': 'CORREEIRO SELEI', '462': 'CURTIDORES', '471': 'AUX DE COSTURA', '473': 'MODELISTAS CORT', '475': 'CHAPELEIRO PALHA', '476': 'CHAPEL. EXC PALHA', '477': 'SAPATEIROS', '478': 'TRAB FABR SAPATO', '479': 'BOLSEIRO CINTEIRO', '481': 'MARCENEIRO', '482': 'CARPINTEIRO', '483': 'TANOEIROS', '484': 'OPER MAQ MARCENARI', '485': 'SERRADORES', '486': 'PREP COMPENSADO', '487': 'ESTOFADOR CAPOTEIR', '488': 'COLCHOEIROS', '489': 'LUSTRADOR MADEIRA', '490': 'CESTEIRO E ESTEI', '491': 'MONT EQ ELÉTRICO', '492': 'MONT EQ ELETRÔNICO', '493': 'REP EQUIPAMENTOS', '494': 'MONTAD RADIO/TV', '495': 'REPAR   RADIO/TV', '496': 'ELETRIC INSTAL', '497': 'INST REP EQ TELE', '498': 'INST REP LIN ELE', '499': 'OP INST ENERG EL', '511': 'ARMADOR CONCRETO', '512': 'PEDREIROS', '513': 'SERV PEDREIRO', '514': 'PINTOR CAIADOR', '515': 'ESTUCADORES', '516': 'LADRILHEIRO TAQ', '517': 'ENCANADORES', '518': 'VIDRACEIRO', '519': 'CALCETEIRO ASFAL', '520': 'CALAFATES', '521': 'OP MAQ CONST CIVIL', '531': 'LING SALSICHEIRO', '532': 'CHARQUEADORES', '533': 'MAGAREFES', '534': 'OCUP IND LATICÍNIO', '536': 'MACARRONEIRO PAS', '537': 'PADEIROS', '538': 'FARINHEIRO MOLEI', '539': 'OCUP IND AÇÚCAR', '540': 'OCUP IND BEBIDAS', '541': 'OCUP IND CAFÉ', '542': 'OCUP IND PESCADO', '543': 'OCUP IND CHA ETC', '544': 'OCUP IND OLEAGINOS', '551': 'LINOTIPISTAS', '552': 'TIPOGRAFOS', '553': 'CLICHERISTA E GR', '554': 'IMPRESSORES', '555': 'REVIS IND GRÁFICA', '556': 'ENCADERNADOR CAR', '561': 'VIDREIRO AMPOLEI', '562': 'CERAMISTAS LOUCE', '563': 'PINTORES CERÂMICA', '564': 'OLEIROS', '571': 'INSP QUALIDADE', '572': 'OURIVES RELOJOEIRO', '573': 'LAPIDADORES', '574': 'BORRACHEIROS', '575': 'VULCANIZADOR REC', '576': 'FOGUETEIROS', '577': 'VASSOUREIROS', '578': 'MARMORISTAS', '579': 'PREPADORES FUMO', '580': 'CHARUTEIROS CIGA', '581': 'PINTORES A PISTOLA', '582': 'OPER EMPILHADEIRA', '583': 'FOGUISTAS', '584': 'EMB MERCADORIAS', '585': 'OCUP IND PAPEL', '586': 'OC IND ART BORRACH', '587': 'OC IND ART CIMENTO', '588': 'SUPERV SEGURANÇA', '589': 'OUT OCUP IND TRA', '601': 'COMERC C/PRÓPRIA', '602': 'VENDEDORES', '603': 'OPER DE CAIXA', '604': 'REPOSIT MERCADORIA', '605': 'DEMONSTRADORES', '611': 'FEIRANTES', '612': 'AGUADEIROS', '613': 'DOCEIROS ETC', '614': 'QUITANDEIROS ETC', '615': 'TRIPEIRO ETC', '616': 'BILHETEIROS', '617': 'OUTR OCUP AMBULANT', '631': 'PRACISTAS E VIAJ', '632': 'REPRES COMERCIAL', '633': 'PROPAGANDISTA', '641': 'CORRETOR SEGUROS', '642': 'CORRETOR IMÓVEIS', '643': 'CORRET TIT/VALOR', '644': 'AVALIADOR LEILOEIR', '645': 'OUTR AG CORRETOR', '646': 'COMPRADORES', '711': 'AVIADOR CIVIL', '712': 'COMISS DE BORDO', '721': 'OFIC MARIN MERCANT', '723': 'MAQ DE EMBARCAÇÃO', '724': 'FOGUISTA EMBARCAÇÃ', '725': 'MARINHEIRO CIVIL', '726': 'TAIFEIROS', '727': 'BARQUEIROS CANOEIR', '731': 'GUINDASTEIROS', '732': 'ESTIVADORES', '741': 'AG ESTR DE FERRO', '742': 'CONDUT CHEF TREM', '743': 'MAQUINISTA TREM', '744': 'FOGUISTAS TREM', '745': 'GUARDA-FREIOS', '751': 'MOTORISTAS', '752': 'TROCADORES', '753': 'CARROCEIRO TROP', '761': 'INSP DESP TRANSP', '762': 'TRAB CONS FERROV', '771': 'AG POSTAL E TELE', '772': 'POSTALISTAS', '773': 'TELEGR. RADIOTEL', '774': 'TELEFONISTAS', '775': 'CARTEIROS', '776': 'GUARDA-FIOS', '801': 'PROPRIETÁRIOS', '805': 'EMPREG DOMÉSTICO', '811': 'HOTEL DON PENSÃO', '812': 'CAMAREIROS', '813': 'COZINHEIROS', '814': 'GARÇONS', '815': 'ATENDENTE BAR', '821': 'CABELEIREIROS', '822': 'BARBEIROS', '823': 'MAQUILADORES ETC', '824': 'MANICURO E PEDICUR', '826': 'ENGRAXATES', '831': 'JOGADOR DE FUTEBOL', '832': 'LUTADOR/ATLETA', '833': 'JUIZ DE ESPORTES', '834': 'TÉCNICO ESPORTES', '841': 'PORTEIROS', '842': 'ASCENSORISTAS', '843': 'VIGIAS', '844': 'SERVENTES', '845': 'CONTÍNUOS', '855': 'INVEST. POLÍCIA', '856': 'GUARDA-CIV INSPETO', '857': 'CARCEREIRO ETC', '858': 'DATILOSCOPISTA', '911': 'APRENDIZES', '912': 'BILHETEIRO DIVER', '913': 'BOMB. EXC C. BOM', '914': 'CAPATAZES', '915': 'DEDETIZADORES', '916': 'GUARD AUTOMÓVEIS', '917': 'GUARDA SANITÁRIO', '918': 'INSPETOR FISCAIS', '919': 'JARDIN EXC LAVOURA', '920': 'LIXEIROS', '921': 'LUBRIFICADORES', '922': 'OPER TRAT ÁGUA', '923': 'OP MAQ EXC AGROP', '924': 'TRABALHAD BRAÇAL', '925': 'TRAB CONS RODOV', '927': 'SEM DECLARAÇÃO'}",OCUPAÇÃO NA SEMANA
