VARI,NOME,DESDE,TAM,CODI,S,F,C,CATEG,RENO,TE,categorias_dict,quesito
V215,FOGÃO,52,1,,,N,,4,,,"{'2': 'TEM', '4': 'NÃO TEM', '9': 'SEM DECLARAÇÃO'}",FOGÃO
V216,GELADEIRA,53,1,,,N,,4,,,"{'1': 'TEM', '3': 'NÃO TEM', '9': 'SEM DECLARAÇÃO'}",GELADEIRA
V217,RADIO,54,1,,,N,,4,,,"{'1': 'TEM', '3': 'NÃO TEM', '9': 'SEM DECLARAÇÃO'}",RADIO
V218,TELEVISÃO,55,1,,,N,,4,,,"{'1': 'TEM', '3': 'NÃO TEM', '9': 'SEM DECLARAÇÃO'}",TELEVISÃO
V409,TIPO DE CONSTRUÇÃO,56,1,,,N,,3,,,"{'1': 'DURAVEIS', '2': 'RÚSTICOS'}",TIPO DE CONSTRUÇÃO
V410,RENDA MENSAL DOMICILIAR,57,9,,,N,,,,,{},RENDA MENSAL DOMICILIAR
V411,CLASSES RENDA DOMICILIAR,66,1,,,N,,8,,,"{'1': 'ATÉ 1', '2': 'MAIS DE 1 A 2', '3': 'MAIS DE 2 A 5', '4': 'MAIS DE 5 A 10', '5': 'MAIS DE 10 A 20', '6': 'MAIS DE 20', '7': 'SEM RENDIMENTO', '8': 'SEM DECLARAÇÃO'}",CLASSES RENDA DOMICILIAR
V412,DENSIDADE MORADOR/COMODO,67,3,,,N,,,,,{},DENSIDADE MORADOR/COMODO
V413,DENS. MOR/COMODO CATEG.,70,1,,,N,,6,,,"{'1': 'ATÉ 0.5', '2': 'MAIS 0.5 A 1.0', '3': 'MAIS 1.0 A 1.5', '4': 'MAIS 1.5 A 2.0', '5': 'MAIS DE 2.0', '6': 'SEM DECLARAÇÃO'}",DENS. MOR/COMODO CATEG.
V414,DENSIDADE MOR/DORMITORIO,71,3,,,N,,,,,{},DENSIDADE MOR/DORMITORIO
V415,DENS. MOR/DORMITORIO CAT,74,1,,,N,,8,,,"{'1': 'ATÉ 1.0', '2': 'MAIS 1.0 A 1.5', '3': 'MAIS 1.5 A 2.0', '4': 'MAIS 2.0 A 2.5', '5': 'MAIS 2.5 A 3.0', '6': 'MAIS 3.0 A 4.0', '7': 'MAIS DE 4.0', '8': 'SEM DECLARAÇÃO'}",DENS. MOR/DORMITORIO CAT
V9992,INVERSO FRAÇÃO AMOSTRA,75,4,,,N,,,,,{},INVERSO FRAÇÃO AMOSTRA
V700,FILLER,79,277,,,L,,,,,{},FILLER
V303,SEXO,23,1,,,N,,2,,,"{'1': 'HOMEM', '3': 'MULHER'}",SEXO
V304,COR,24,1,,,N,,5,,,"{'2': 'BRANCA', '4': 'PRETA', '6': 'PARDA', '8': 'AMARELA', '9': 'SEM DECLARAÇÃO'}",COR
V305,CONDIÇÃO NO DOMICÍLIO,25,1,,,N,,8,,,"{'1': 'CHEFE', '2': 'CONJUGE', '3': 'FILHO', '4': 'OUTRO PARENTE', '5': 'AGREGADO', '6': 'PENSIONISTA', '7': 'EMPREG.DOMESTICO', '8': 'PARENTE EMPR.DOM'}",CONDIÇÃO NO DOMICÍLIO
V306,CONDIÇÃO NA FAMÍLIA,26,1,,,N,,8,305,,"{'1': 'CHEFE', '2': 'CONJUGE', '3': 'FILHO', '4': 'OUTRO PARENTE', '5': 'AGREGADO', '6': 'PENSIONISTA', '7': 'EMPREG.DOMESTICO', '8': 'PARENTE EMPR.DOM'}",CONDIÇÃO NA FAMÍLIA
V307,NÚMERO DA FAMÍLIA,27,1,,,N,,9,,,"{'1': 'UMA FAMÍLIA', '2': 'DUAS FAMÍLIAS', '3': 'TRES FAMÍLIAS', '4': 'QUATRO FAMÍLIAS', '5': 'CINCO FAMÍLIAS', '6': 'SEIS FAMÍLIAS', '7': 'SETE FAMÍLIAS', '8': 'OITO FAMÍLIAS', '9': 'NOVE FAMÍLIAS'}",NÚMERO DA FAMÍLIA
V308,DIA DE NASCIMENTO,28,2,,,N,,33,,,"{'0': 'IDADE PRESUM.', '1': 'DIA  1', '2': 'DIA  2', '3': 'DIA  3', '4': 'DIA  4', '5': 'DIA  5', '6': 'DIA  6', '7': 'DIA  7', '8': 'DIA  8', '9': 'DIA  9', '10': 'DIA 10', '11': 'DIA 11', '12': 'DIA 12', '13': 'DIA 13', '14': 'DIA 14', '15': 'DIA 15', '16': 'DIA 16', '17': 'DIA 17', '18': 'DIA 18', '19': 'DIA 19', '20': 'DIA 20', '21': 'DIA 21', '22': 'DIA 22', '23': 'DIA 23', '24': 'DIA 24', '25': 'DIA 25', '26': 'DIA 26', '27': 'DIA 27', '28': 'DIA 28', '29': 'DIA 29', '30': 'DIA 30', '31': 'DIA 31', '99': 'SEM DECLARAÇÃO'}",DIA DE NASCIMENTO
V309,MES DE NASCIMENTO,30,2,,,N,,14,,,"{'1': 'JANEIRO', '2': 'FEVEREIRO', '3': 'MARÇO', '4': 'ABRIL', '5': 'MAIO', '6': 'JUNHO', '7': 'JULHO', '8': 'AGOSTO', '9': 'SETEMBRO', '10': 'OUTUBRO', '11': 'NOVEMBRO', '12': 'DEZEMBRO', '20': 'ID.PRESUM.MORAD', '99': 'SEM DECLARAÇÃO'}",MES DE NASCIMENTO
V310,ANO DE NASCIMENTO,32,3,,,N,,,,,{},ANO DE NASCIMENTO
V805,IDADE CALCULADA,35,3,,,N,,,,,{},IDADE CALCULADA
V311,SABE LER E ESCREVER,38,1,,,N,,4,,,"{'1': 'SIM', '3': 'NÃO', '9': 'SEM DECLARAÇÃO'}",SABE LER E ESCREVER
V312,SÉRIE-FREQUENTA ESCOLA,39,1,,,N,,11,,,"{'0': 'NÃO FREQUENTA', '1': '1 SÉRIE', '2': '2 SÉRIE', '3': '3 SÉRIE', '4': '4 SÉRIE', '5': '5 SÉRIE', '6': '6 SÉRIE', '7': '7 SÉRIE', '8': '8 SÉRIE', '9': 'SEM DECLARAÇÃO'}",SÉRIE-FREQUENTA ESCOLA
V314,GRAU-FREQUENTA ESCOLA,40,2,,,N,,15,,,"{'00': 'NÃO FREQUENTA', '04': '1 GRAU', '05': '2 GRAU', '06': 'SUPERIOR', '07': 'PRÉ-ESCOLAR', '08': 'ALF.ADULTOS', '09': 'SUPLET. 1 GRAU', '10': 'SUPLET. 2 GRAU', '11': 'SUP. 1 GRAU/RTV', '12': 'SUP. 2 GRAU/RTV', '13': 'SUP.SEM ESPECIF', '14': 'VESTIBULAR', '15': 'DOUTOR/MESTRADO', '99': 'SEM DECLARAÇÃO'}",GRAU-FREQUENTA ESCOLA
V315,SÉRIE-NÃO FREQUENTA,42,1,,,N,,11,,,"{'0': 'NÃO FREQUENTA', '1': '1 SÉRIE', '2': '2 SÉRIE', '3': '3 SÉRIE', '4': '4 SÉRIE', '5': '5 SÉRIE', '6': '6 SÉRIE', '7': '7 SÉRIE', '8': '8 SÉRIE', '9': 'SEM DECLARAÇÃO'}",SÉRIE-NÃO FREQUENTA
V317,GRAU-NÃO FREQUENTA,43,2,,,N,,10,,,"{'00': 'NÃO FREQUENTA', '01': 'ELEMENTAR', '02': 'MÉDIO 1 CICLO', '03': 'MÉDIO 2 CICLO', '04': '1 GRAU', '05': '2 GRAU', '06': 'SUPERIOR', '07': 'DOUTOR/MESTRADO', '99': 'SEM DECLARAÇÃO'}",GRAU-NÃO FREQUENTA
V501,QUE FEZ NA SEMANA,45,1,,,N,,9,,,"{'1': 'TRABALHOU', '2': 'TINHA TRABALHO', '3': 'PROCUROU TRABALHO', '4': 'ESTUDANTE', '5': 'AFAZER.DOMÉSTICO', '6': 'APOSENT/PENSION.', '7': 'OUTRA', '9': 'SEM DECLARAÇÃO'}",QUE FEZ NA SEMANA
V502,TINHA OUTRO TRABALHO/SEM,46,1,,,N,,4,,,"{'1': 'SIM', '3': 'NÃO', '9': 'IGNORADO'}",TINHA OUTRO TRABALHO/SEM
